ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"11,338,893",12.94%
Grand Canyon NP,2,"6,254,238",7.14%
Zion NP,3,"4,504,812",5.14%
Rocky Mountain NP,4,"4,437,215",5.06%
Yosemite NP,5,"4,336,890",4.95%
Yellowstone NP,6,"4,116,524",4.70%
Acadia NP,7,"3,509,271",4.01%
Olympic NP,8,"3,401,996",3.88%
Grand Teton NP,9,"3,317,000",3.79%
Glacier NP,10,"3,305,512",3.77%
Joshua Tree NP,11,"2,853,619",3.26%
Bryce Canyon NP,12,"2,571,684",2.94%
Cuyahoga Valley NP,13,"2,226,879",2.54%
Indiana Dunes NP,14,"2,158,471",2.46%
Hawaii Volcanoes NP,15,"2,016,702",2.30%
Hot Springs NP,16,"1,561,616",1.78%
Arches NP,17,"1,539,028",1.76%
Shenandoah NP,18,"1,458,874",1.67%
Mount Rainier NP,19,"1,415,867",1.62%
Gateway Arch NP,20,"1,398,188",1.60%
Death Valley NP,21,"1,294,827",1.48%
Sequoia NP,22,"1,291,256",1.47%
Capitol Reef NP,23,"1,150,165",1.31%
Haleakala NP,24,"1,112,390",1.27%
Badlands NP,25,"1,054,325",1.20%
Everglades NP,26,"1,018,557",1.16%
Saguaro NP,27,"964,760",1.10%
Canyonlands NP,28,"742,271",0.85%
Crater Lake NP,29,"711,749",0.81%
Theodore Roosevelt NP,30,"708,003",0.81%
Kings Canyon NP,31,"692,932",0.79%
Denali NP & PRES,32,"642,809",0.73%
Petrified Forest NP,33,"627,757",0.72%
Wind Cave NP,34,"619,924",0.71%
Mesa Verde NP,35,"613,788",0.70%
Mammoth Cave NP,36,"587,853",0.67%
Glacier Bay NP & PRES,37,"547,057",0.62%
Carlsbad Caverns NP,38,"520,026",0.59%
Lassen Volcanic NP,39,"507,256",0.58%
Great Sand Dunes NP & PRES,40,"486,935",0.56%
Biscayne NP,41,"446,961",0.51%
Redwood NP,42,"445,000",0.51%
Big Bend NP,43,"440,276",0.50%
Channel Islands NP,44,"383,687",0.44%
Black Canyon of the Gunnison NP,45,"307,143",0.35%
Virgin Islands NP,46,"304,408",0.35%
Kenai Fjords NP,47,"303,598",0.35%
Voyageurs NP,48,"237,250",0.27%
Pinnacles NP,49,"233,334",0.27%
Guadalupe Mountains NP,50,"225,257",0.26%
Great Basin NP,51,"168,028",0.19%
Congaree NP,52,"159,595",0.18%
National Park of American Samoa,53,"69,468",0.08%
Wrangell-St. Elias NP & PRES,54,"68,292",0.08%
Dry Tortugas NP,55,"54,281",0.06%
Katmai NP & PRES,56,"37,818",0.04%
North Cascades NP,57,"30,326",0.03%
Isle Royale NP,58,"28,196",0.03%
Lake Clark NP & PRES,59,"22,755",0.03%
Kobuk Valley NP,60,"15,500",0.02%
Gates of the Arctic NP & PRES,61,"11,177",0.01%
