ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"10,099,276",13.97%
Grand Canyon NP,2,"4,756,771",6.58%
Yosemite NP,3,"3,882,642",5.37%
Yellowstone NP,4,"3,513,484",4.86%
Rocky Mountain NP,5,"3,434,751",4.75%
Olympic NP,6,"3,243,872",4.49%
Zion NP,7,"3,189,696",4.41%
Grand Teton NP,8,"2,791,392",3.86%
Acadia NP,9,"2,563,129",3.55%
Glacier NP,10,"2,338,528",3.23%
Cuyahoga Valley NP,11,"2,189,849",3.03%
Gateway Arch NP,12,"1,817,091",2.51%
Hawaii Volcanoes NP,13,"1,693,005",2.34%
Joshua Tree NP,14,"1,589,904",2.20%
Indiana Dunes NP,15,"1,553,372",2.15%
Bryce Canyon NP,16,"1,435,741",1.99%
Hot Springs NP,17,"1,424,484",1.97%
Arches NP,18,"1,284,767",1.78%
Mount Rainier NP,19,"1,264,259",1.75%
Shenandoah NP,20,"1,255,321",1.74%
Haleakala NP,21,"1,142,040",1.58%
Everglades NP,22,"1,110,901",1.54%
Death Valley NP,23,"1,101,312",1.52%
Sequoia NP,24,"1,039,137",1.44%
Badlands NP,25,"868,094",1.20%
Petrified Forest NP,26,"836,799",1.16%
Capitol Reef NP,27,"786,514",1.09%
Saguaro NP,28,"673,572",0.93%
Theodore Roosevelt NP,29,"559,580",0.77%
Wind Cave NP,30,"547,022",0.76%
Canyonlands NP,31,"542,431",0.75%
Crater Lake NP,32,"535,508",0.74%
Denali NP & PRES,33,"531,315",0.73%
Biscayne NP,34,"525,745",0.73%
Mammoth Cave NP,35,"522,628",0.72%
Kings Canyon NP,36,"502,268",0.69%
Mesa Verde NP,37,"501,563",0.69%
Glacier Bay NP & PRES,38,"500,727",0.69%
Lassen Volcanic NP,39,"432,977",0.60%
Redwood NP,40,"429,166",0.59%
Virgin Islands NP,41,"426,930",0.59%
Carlsbad Caverns NP,42,"397,309",0.55%
Channel Islands NP,43,"342,161",0.47%
Big Bend NP,44,"314,102",0.43%
Great Sand Dunes NP & PRES,45,"271,774",0.38%
Kenai Fjords NP,46,"270,666",0.37%
Voyageurs NP,47,"239,160",0.33%
Pinnacles NP,48,"196,635",0.27%
Black Canyon of the Gunnison NP,49,"183,045",0.25%
Guadalupe Mountains NP,50,"166,868",0.23%
Congaree NP,51,"120,122",0.17%
Great Basin NP,52,"107,526",0.15%
Wrangell-St. Elias NP & PRES,53,"74,722",0.10%
Dry Tortugas NP,54,"64,865",0.09%
Katmai NP & PRES,55,"30,896",0.04%
North Cascades NP,56,"23,865",0.03%
Lake Clark NP & PRES,57,"16,100",0.02%
Isle Royale NP,58,"14,560",0.02%
National Park of American Samoa,59,"13,953",0.02%
Gates of the Arctic NP & PRES,60,"12,669",0.02%
