ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"11,421,200",13.30%
Grand Canyon NP,2,"6,380,495",7.43%
Rocky Mountain NP,3,"4,590,493",5.35%
Zion NP,4,"4,320,033",5.03%
Yellowstone NP,5,"4,115,000",4.79%
Yosemite NP,6,"4,009,436",4.67%
Acadia NP,7,"3,537,575",4.12%
Grand Teton NP,8,"3,491,151",4.07%
Olympic NP,9,"3,104,455",3.61%
Glacier NP,10,"2,965,309",3.45%
Joshua Tree NP,11,"2,942,382",3.43%
Bryce Canyon NP,12,"2,679,478",3.12%
Cuyahoga Valley NP,13,"2,096,053",2.44%
Gateway Arch NP,14,"2,016,180",2.35%
Indiana Dunes NP,15,"1,756,079",2.04%
Death Valley NP,16,"1,678,660",1.95%
Arches NP,17,"1,663,557",1.94%
Mount Rainier NP,18,"1,518,491",1.77%
Hot Springs NP,19,"1,506,887",1.75%
Shenandoah NP,20,"1,264,880",1.47%
Sequoia NP,21,"1,229,594",1.43%
Capitol Reef NP,22,"1,227,627",1.43%
Hawaii Volcanoes NP,23,"1,116,891",1.30%
Haleakala NP,24,"1,044,084",1.22%
Badlands NP,25,"1,008,942",1.17%
Saguaro NP,26,"957,405",1.11%
Theodore Roosevelt NP,27,"749,389",0.87%
Canyonlands NP,28,"739,449",0.86%
Crater Lake NP,29,"720,659",0.84%
Kings Canyon NP,30,"699,023",0.81%
Wind Cave NP,31,"656,397",0.76%
Petrified Forest NP,32,"644,922",0.75%
Glacier Bay NP & PRES,33,"597,915",0.70%
Everglades NP,34,"597,124",0.70%
Denali NP & PRES,35,"594,660",0.69%
Mesa Verde NP,36,"563,420",0.66%
Mammoth Cave NP,37,"533,206",0.62%
Lassen Volcanic NP,38,"499,435",0.58%
Redwood NP,39,"482,536",0.56%
Biscayne NP,40,"469,253",0.55%
Carlsbad Caverns NP,41,"465,912",0.54%
Great Sand Dunes NP & PRES,42,"442,905",0.52%
Big Bend NP,43,"440,091",0.51%
Channel Islands NP,44,"366,250",0.43%
Kenai Fjords NP,45,"321,596",0.37%
Black Canyon of the Gunnison NP,46,"308,962",0.36%
Voyageurs NP,47,"239,656",0.28%
Pinnacles NP,48,"222,152",0.26%
Guadalupe Mountains NP,49,"172,347",0.20%
Great Basin NP,50,"153,094",0.18%
Congaree NP,51,"145,929",0.17%
Virgin Islands NP,52,"112,287",0.13%
Wrangell-St. Elias NP & PRES,53,"79,450",0.09%
Dry Tortugas NP,54,"56,810",0.07%
Katmai NP & PRES,55,"37,818",0.04%
North Cascades NP,56,"30,085",0.04%
National Park of American Samoa,57,"28,626",0.03%
Isle Royale NP,58,"25,798",0.03%
Kobuk Valley NP,59,"14,937",0.02%
Lake Clark NP & PRES,60,"14,479",0.02%
Gates of the Arctic NP & PRES,61,"9,591",0.01%
