ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,989,395",13.48%
Grand Canyon NP,2,"4,239,682",5.72%
Yosemite NP,3,"3,657,132",4.93%
Olympic NP,4,"3,577,007",4.83%
Cuyahoga Valley NP,5,"3,467,107",4.68%
Gateway Arch NP,6,"3,420,352",4.61%
Yellowstone NP,7,"3,120,830",4.21%
Rocky Mountain NP,8,"3,035,422",4.10%
Grand Teton NP,9,"2,757,060",3.72%
Acadia NP,10,"2,594,497",3.50%
Zion NP,11,"2,370,048",3.20%
Mammoth Cave NP,12,"2,113,992",2.85%
Indiana Dunes NP,13,"2,108,789",2.85%
Glacier NP,14,"1,830,944",2.47%
Hot Springs NP,15,"1,495,993",2.02%
Haleakala NP,16,"1,476,842",1.99%
Shenandoah NP,17,"1,473,100",1.99%
Joshua Tree NP,18,"1,410,312",1.90%
Mount Rainier NP,19,"1,353,793",1.83%
Hawaii Volcanoes NP,20,"1,352,373",1.82%
Death Valley NP,21,"1,177,746",1.59%
Bryce Canyon NP,22,"1,166,331",1.57%
Everglades NP,23,"1,118,215",1.51%
Badlands NP,24,"1,021,049",1.38%
Sequoia NP,25,"861,303",1.16%
Wind Cave NP,26,"849,974",1.15%
Arches NP,27,"837,161",1.13%
Petrified Forest NP,28,"816,506",1.10%
Saguaro NP,29,"716,160",0.97%
Capitol Reef NP,30,"656,026",0.89%
Mesa Verde NP,31,"604,556",0.82%
Channel Islands NP,32,"574,270",0.77%
Virgin Islands NP,33,"556,849",0.75%
Kings Canyon NP,34,"540,212",0.73%
Carlsbad Caverns NP,35,"522,076",0.70%
Crater Lake NP,36,"471,865",0.64%
Theodore Roosevelt NP,37,"448,286",0.60%
Canyonlands NP,38,"436,524",0.59%
Glacier Bay NP & PRES,39,"403,512",0.54%
Biscayne NP,40,"403,239",0.54%
Redwood NP,41,"383,188",0.52%
Denali NP & PRES,42,"372,519",0.50%
Big Bend NP,43,"338,442",0.46%
Lassen Volcanic NP,44,"318,049",0.43%
Great Sand Dunes NP & PRES,45,"279,768",0.38%
Kenai Fjords NP,46,"263,948",0.36%
Voyageurs NP,47,"231,958",0.31%
Guadalupe Mountains NP,48,"227,924",0.31%
Black Canyon of the Gunnison NP,49,"193,451",0.26%
Pinnacles NP,50,"94,639",0.13%
Congaree NP,51,"93,725",0.13%
Great Basin NP,52,"80,363",0.11%
Dry Tortugas NP,53,"60,136",0.08%
Katmai NP & PRES,54,"45,470",0.06%
North Cascades NP,55,"32,753",0.04%
Wrangell-St. Elias NP & PRES,56,"27,859",0.04%
Isle Royale NP,57,"23,932",0.03%
Lake Clark NP & PRES,58,"11,335",0.02%
Gates of the Arctic NP & PRES,59,"8,266",0.01%
Kobuk Valley NP,60,"5,550",0.01%
