ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,316,420",13.25%
Grand Canyon NP,2,"4,001,974",5.69%
Olympic NP,3,"3,691,310",5.25%
Yosemite NP,4,"3,361,867",4.78%
Gateway Arch NP,5,"3,333,454",4.74%
Cuyahoga Valley NP,6,"3,217,935",4.58%
Rocky Mountain NP,7,"2,988,475",4.25%
Yellowstone NP,8,"2,973,677",4.23%
Grand Teton NP,9,"2,612,629",3.71%
Zion NP,10,"2,592,545",3.69%
Acadia NP,11,"2,558,572",3.64%
Indiana Dunes NP,12,"1,989,941",2.83%
Glacier NP,13,"1,905,689",2.71%
Mammoth Cave NP,14,"1,891,307",2.69%
Haleakala NP,15,"1,521,080",2.16%
Hot Springs NP,16,"1,440,227",2.05%
Shenandoah NP,17,"1,389,244",1.98%
Mount Rainier NP,18,"1,310,390",1.86%
Joshua Tree NP,19,"1,178,376",1.68%
Hawaii Volcanoes NP,20,"1,110,998",1.58%
Everglades NP,21,"968,909",1.38%
Sequoia NP,22,"920,292",1.31%
Badlands NP,23,"908,898",1.29%
Death Valley NP,24,"897,596",1.28%
Bryce Canyon NP,25,"886,436",1.26%
Wind Cave NP,26,"810,298",1.15%
Arches NP,27,"769,672",1.09%
Virgin Islands NP,28,"693,494",0.99%
Saguaro NP,29,"615,045",0.87%
Channel Islands NP,30,"613,935",0.87%
Petrified Forest NP,31,"571,586",0.81%
Kings Canyon NP,32,"545,420",0.78%
Capitol Reef NP,33,"525,646",0.75%
Biscayne NP,34,"513,397",0.73%
Carlsbad Caverns NP,35,"476,259",0.68%
Theodore Roosevelt NP,36,"471,551",0.67%
Crater Lake NP,37,"456,620",0.65%
Glacier Bay NP & PRES,38,"408,143",0.58%
Mesa Verde NP,39,"406,385",0.58%
Redwood NP,40,"404,789",0.58%
Lassen Volcanic NP,41,"388,149",0.55%
Canyonlands NP,42,"367,078",0.52%
Big Bend NP,43,"327,747",0.47%
Denali NP & PRES,44,"311,335",0.44%
Kenai Fjords NP,45,"251,799",0.36%
Voyageurs NP,46,"238,227",0.34%
Great Sand Dunes NP & PRES,47,"234,776",0.33%
Guadalupe Mountains NP,48,"202,911",0.29%
Black Canyon of the Gunnison NP,49,"173,687",0.25%
Pinnacles NP,50,"162,266",0.23%
Congaree NP,51,"101,620",0.14%
Great Basin NP,52,"85,777",0.12%
Dry Tortugas NP,53,"79,582",0.11%
Katmai NP & PRES,54,"59,025",0.08%
Wrangell-St. Elias NP & PRES,55,"40,352",0.06%
North Cascades NP,56,"20,691",0.03%
Isle Royale NP,57,"19,463",0.03%
Gates of the Arctic NP & PRES,58,"6,648",0.01%
Lake Clark NP & PRES,59,"4,325",0.01%
Kobuk Valley NP,60,"4,046",0.01%
National Park of American Samoa,61,"1,938",0.00%
