ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,463,538",13.63%
Grand Canyon NP,2,"4,388,386",6.32%
Yosemite NP,3,"3,901,408",5.62%
Yellowstone NP,4,"3,640,185",5.24%
Rocky Mountain NP,5,"2,955,821",4.26%
Olympic NP,6,"2,844,563",4.10%
Grand Teton NP,7,"2,669,374",3.84%
Zion NP,8,"2,665,972",3.84%
Acadia NP,9,"2,504,208",3.61%
Cuyahoga Valley NP,10,"2,492,670",3.59%
Gateway Arch NP,11,"2,436,110",3.51%
Glacier NP,12,"2,200,048",3.17%
Indiana Dunes NP,13,"2,150,345",3.10%
Joshua Tree NP,14,"1,434,976",2.07%
Hot Springs NP,15,"1,311,807",1.89%
Hawaii Volcanoes NP,16,"1,304,667",1.88%
Bryce Canyon NP,17,"1,285,492",1.85%
Shenandoah NP,18,"1,253,386",1.80%
Mount Rainier NP,19,"1,191,754",1.72%
Haleakala NP,20,"1,105,606",1.59%
Arches NP,21,"1,014,405",1.46%
Sequoia NP,22,"1,002,979",1.44%
Death Valley NP,23,"984,775",1.42%
Badlands NP,24,"977,778",1.41%
Everglades NP,25,"915,538",1.32%
Saguaro NP,26,"717,614",1.03%
Petrified Forest NP,27,"664,725",0.96%
Capitol Reef NP,28,"662,661",0.95%
Theodore Roosevelt NP,29,"623,748",0.90%
Kings Canyon NP,30,"598,205",0.86%
Wind Cave NP,31,"577,141",0.83%
Mesa Verde NP,32,"559,712",0.81%
Mammoth Cave NP,33,"497,225",0.72%
Virgin Islands NP,34,"493,477",0.71%
Biscayne NP,35,"467,612",0.67%
Crater Lake NP,36,"448,319",0.65%
Glacier Bay NP & PRES,37,"444,530",0.64%
Canyonlands NP,38,"435,908",0.63%
Carlsbad Caverns NP,39,"428,524",0.62%
Redwood NP,40,"418,820",0.60%
Lassen Volcanic NP,41,"384,570",0.55%
Denali NP & PRES,42,"378,855",0.55%
Big Bend NP,43,"372,330",0.54%
Kenai Fjords NP,44,"297,596",0.43%
Great Sand Dunes NP & PRES,45,"283,284",0.41%
Channel Islands NP,46,"277,515",0.40%
Voyageurs NP,47,"253,891",0.37%
Pinnacles NP,48,"246,575",0.36%
Guadalupe Mountains NP,49,"192,210",0.28%
Black Canyon of the Gunnison NP,50,"176,344",0.25%
Congaree NP,51,"121,208",0.17%
Great Basin NP,52,"88,870",0.13%
Wrangell-St. Elias NP & PRES,53,"73,170",0.11%
Katmai NP & PRES,54,"55,172",0.08%
Dry Tortugas NP,55,"53,890",0.08%
North Cascades NP,56,"24,659",0.04%
Isle Royale NP,57,"15,793",0.02%
Gates of the Arctic NP & PRES,58,"10,840",0.02%
Lake Clark NP & PRES,59,"9,931",0.01%
Kobuk Valley NP,60,"3,164",0.00%
National Park of American Samoa,61,"3,006",0.00%
