ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,167,046",13.38%
Grand Canyon NP,2,"4,326,234",6.31%
Cuyahoga Valley NP,3,"3,306,175",4.83%
Yosemite NP,4,"3,280,911",4.79%
Olympic NP,5,"3,073,722",4.49%
Yellowstone NP,6,"2,868,317",4.19%
Rocky Mountain NP,7,"2,781,899",4.06%
Gateway Arch NP,8,"2,779,350",4.06%
Zion NP,9,"2,677,342",3.91%
Grand Teton NP,10,"2,360,373",3.45%
Acadia NP,11,"2,207,847",3.22%
Glacier NP,12,"2,033,933",2.97%
Mammoth Cave NP,13,"1,888,267",2.76%
Indiana Dunes NP,14,"1,810,330",2.64%
Haleakala NP,15,"1,455,477",2.12%
Hot Springs NP,16,"1,418,735",2.07%
Hawaii Volcanoes NP,17,"1,307,391",1.91%
Shenandoah NP,18,"1,261,000",1.84%
Joshua Tree NP,19,"1,243,659",1.82%
Mount Rainier NP,20,"1,217,750",1.78%
Everglades NP,21,"1,181,355",1.72%
Sequoia NP,22,"1,000,177",1.46%
Bryce Canyon NP,23,"987,253",1.44%
Badlands NP,24,"936,030",1.37%
Virgin Islands NP,25,"793,590",1.16%
Death Valley NP,26,"764,820",1.12%
Arches NP,27,"733,131",1.07%
Saguaro NP,28,"651,464",0.95%
Wind Cave NP,29,"593,877",0.87%
Petrified Forest NP,30,"580,000",0.85%
Capitol Reef NP,31,"549,708",0.80%
Channel Islands NP,32,"537,716",0.78%
Kings Canyon NP,33,"525,035",0.77%
Biscayne NP,34,"478,304",0.70%
Theodore Roosevelt NP,35,"474,589",0.69%
Mesa Verde NP,36,"446,811",0.65%
Carlsbad Caverns NP,37,"419,599",0.61%
Crater Lake NP,38,"417,066",0.61%
Denali NP & PRES,39,"404,236",0.59%
Redwood NP,40,"392,029",0.57%
Lassen Volcanic NP,41,"379,667",0.55%
Canyonlands NP,42,"371,706",0.54%
Big Bend NP,43,"357,723",0.52%
Glacier Bay NP & PRES,44,"353,686",0.52%
Great Sand Dunes NP & PRES,45,"267,204",0.39%
Voyageurs NP,46,"249,041",0.36%
Kenai Fjords NP,47,"244,232",0.36%
Guadalupe Mountains NP,48,"182,351",0.27%
Black Canyon of the Gunnison NP,49,"175,581",0.26%
Pinnacles NP,50,"157,397",0.23%
Congaree NP,51,"126,247",0.18%
Great Basin NP,52,"79,879",0.12%
Dry Tortugas NP,53,"67,917",0.10%
Wrangell-St. Elias NP & PRES,54,"57,221",0.08%
Katmai NP & PRES,55,"56,787",0.08%
Isle Royale NP,56,"17,276",0.03%
North Cascades NP,57,"16,912",0.02%
Gates of the Arctic NP & PRES,58,"10,282",0.02%
Lake Clark NP & PRES,59,"4,906",0.01%
Kobuk Valley NP,60,"4,744",0.01%
