ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"10,209,841",15.80%
Acadia NP,2,"4,288,154",6.63%
Grand Canyon NP,3,"3,513,030",5.44%
Yosemite NP,4,"3,152,275",4.88%
Olympic NP,5,"2,822,850",4.37%
Yellowstone NP,6,"2,573,194",3.98%
Rocky Mountain NP,7,"2,531,864",3.92%
Gateway Arch NP,8,"2,364,694",3.66%
Zion NP,9,"1,777,619",2.75%
Shenandoah NP,10,"1,767,727",2.73%
Glacier NP,11,"1,660,737",2.57%
Mammoth Cave NP,12,"1,636,340",2.53%
Indiana Dunes NP,13,"1,576,238",2.44%
Grand Teton NP,14,"1,450,791",2.24%
Haleakala NP,15,"1,333,900",2.06%
Mount Rainier NP,16,"1,292,027",2.00%
Badlands NP,17,"1,174,398",1.82%
Sequoia NP,18,"1,139,389",1.76%
Cuyahoga Valley NP,19,"1,113,405",1.72%
Hot Springs NP,20,"1,101,242",1.70%
Kings Canyon NP,21,"1,081,172",1.67%
Hawaii Volcanoes NP,22,"1,006,058",1.56%
Joshua Tree NP,23,"830,085",1.28%
Everglades NP,24,"787,493",1.22%
Virgin Islands NP,25,"785,354",1.22%
Carlsbad Caverns NP,26,"781,300",1.21%
Petrified Forest NP,27,"758,082",1.17%
Mesa Verde NP,28,"728,566",1.13%
Bryce Canyon NP,29,"718,342",1.11%
Saguaro NP,30,"689,933",1.07%
Death Valley NP,31,"665,345",1.03%
North Cascades NP,32,"651,606",1.01%
Redwood NP,33,"610,897",0.95%
Biscayne NP,34,"607,968",0.94%
Denali NP & PRES,35,"575,013",0.89%
Wind Cave NP,36,"563,720",0.87%
Lassen Volcanic NP,37,"472,431",0.73%
Arches NP,38,"468,916",0.73%
Crater Lake NP,39,"460,550",0.71%
Capitol Reef NP,40,"428,808",0.66%
Theodore Roosevelt NP,41,"424,846",0.66%
Black Canyon of the Gunnison NP,42,"285,439",0.44%
Big Bend NP,43,"227,921",0.35%
Great Sand Dunes NP & PRES,44,"225,937",0.35%
Pinnacles NP,45,"204,705",0.32%
Voyageurs NP,46,"201,727",0.31%
Channel Islands NP,47,"174,607",0.27%
Canyonlands NP,48,"172,384",0.27%
Guadalupe Mountains NP,49,"156,344",0.24%
Glacier Bay NP & PRES,50,"130,926",0.20%
Great Basin NP,51,"63,532",0.10%
Kenai Fjords NP,52,"60,428",0.09%
Katmai NP & PRES,53,"38,212",0.06%
Isle Royale NP,54,"31,760",0.05%
Wrangell-St. Elias NP & PRES,55,"29,191",0.05%
Congaree NP,56,"20,312",0.03%
Lake Clark NP & PRES,57,"16,418",0.03%
Dry Tortugas NP,58,"16,315",0.03%
Gates of the Arctic NP & PRES,59,"1,060",0.00%
Kobuk Valley NP,60,230,0.00%
