ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,372,253",14.03%
Grand Canyon NP,2,"4,413,668",6.61%
Yosemite NP,3,"3,503,428",5.25%
Yellowstone NP,4,"3,151,343",4.72%
Olympic NP,5,"2,988,686",4.47%
Rocky Mountain NP,6,"2,895,383",4.33%
Zion NP,7,"2,657,281",3.98%
Grand Teton NP,8,"2,588,574",3.88%
Cuyahoga Valley NP,9,"2,486,656",3.72%
Gateway Arch NP,10,"2,385,387",3.57%
Acadia NP,11,"2,202,228",3.30%
Glacier NP,12,"2,083,329",3.12%
Indiana Dunes NP,13,"1,972,344",2.95%
Hawaii Volcanoes NP,14,"1,467,779",2.20%
Haleakala NP,15,"1,322,817",1.98%
Hot Springs NP,16,"1,300,152",1.95%
Joshua Tree NP,17,"1,298,979",1.94%
Shenandoah NP,18,"1,107,227",1.66%
Everglades NP,19,"1,074,764",1.61%
Mount Rainier NP,20,"1,047,685",1.57%
Bryce Canyon NP,21,"1,012,563",1.52%
Sequoia NP,22,"979,537",1.47%
Badlands NP,23,"886,654",1.33%
Arches NP,24,"860,181",1.29%
Death Valley NP,25,"704,122",1.05%
Saguaro NP,26,"658,477",0.99%
Wind Cave NP,27,"603,158",0.90%
Kings Canyon NP,28,"580,129",0.87%
Virgin Islands NP,29,"571,382",0.86%
Petrified Forest NP,30,"563,590",0.84%
Capitol Reef NP,31,"554,907",0.83%
Mesa Verde NP,32,"541,102",0.81%
Biscayne NP,33,"517,442",0.77%
Mammoth Cave NP,34,"487,305",0.73%
Crater Lake NP,35,"468,958",0.70%
Denali NP & PRES,36,"458,308",0.69%
Theodore Roosevelt NP,37,"456,588",0.68%
Glacier Bay NP & PRES,38,"438,211",0.66%
Canyonlands NP,39,"417,560",0.63%
Carlsbad Caverns NP,40,"409,560",0.61%
Lassen Volcanic NP,41,"395,057",0.59%
Redwood NP,42,"385,171",0.58%
Big Bend NP,43,"364,856",0.55%
Channel Islands NP,44,"360,806",0.54%
Great Sand Dunes NP & PRES,45,"285,121",0.43%
Kenai Fjords NP,46,"284,604",0.43%
Voyageurs NP,47,"220,650",0.33%
Black Canyon of the Gunnison NP,48,"219,576",0.33%
Guadalupe Mountains NP,49,"165,110",0.25%
Pinnacles NP,50,"161,019",0.24%
Congaree NP,51,"115,524",0.17%
Katmai NP & PRES,52,"82,634",0.12%
Great Basin NP,53,"81,364",0.12%
Wrangell-St. Elias NP & PRES,54,"61,085",0.09%
Dry Tortugas NP,55,"60,895",0.09%
North Cascades NP,56,"19,534",0.03%
Isle Royale NP,57,"15,973",0.02%
Gates of the Arctic NP & PRES,58,"10,942",0.02%
National Park of American Samoa,59,"6,774",0.01%
Lake Clark NP & PRES,60,"5,549",0.01%
Kobuk Valley NP,61,847,0.00%
