ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,312,884",14.69%
Acadia NP,2,"2,997,972",5.30%
Rocky Mountain NP,3,"2,911,242",5.14%
Grand Teton NP,4,"2,643,644",4.67%
Yellowstone NP,5,"2,521,831",4.45%
Yosemite NP,6,"2,516,893",4.45%
Grand Canyon NP,7,"2,472,270",4.37%
Olympic NP,8,"2,306,032",4.07%
Gateway Arch NP,9,"2,282,261",4.03%
Hawaii Volcanoes NP,10,"1,931,852",3.41%
Shenandoah NP,11,"1,819,546",3.21%
Glacier NP,12,"1,786,523",3.16%
Mammoth Cave NP,13,"1,404,317",2.48%
Zion NP,14,"1,288,808",2.28%
Mount Rainier NP,15,"1,233,671",2.18%
Hot Springs NP,16,"1,177,911",2.08%
Badlands NP,17,"1,175,952",2.08%
Sequoia NP,18,"1,083,002",1.91%
Indiana Dunes NP,19,"1,023,436",1.81%
North Cascades NP,20,"829,026",1.46%
Kings Canyon NP,21,"776,850",1.37%
Carlsbad Caverns NP,22,"771,766",1.36%
Petrified Forest NP,23,"747,832",1.32%
Theodore Roosevelt NP,24,"702,873",1.24%
Haleakala NP,25,"631,684",1.12%
Death Valley NP,26,"630,402",1.11%
Joshua Tree NP,27,"612,966",1.08%
Cuyahoga Valley NP,28,"596,300",1.05%
Mesa Verde NP,29,"588,608",1.04%
Virgin Islands NP,30,"566,528",1.00%
Everglades NP,31,"564,721",1.00%
Redwood NP,32,"549,461",0.97%
Wind Cave NP,33,"503,424",0.89%
Crater Lake NP,34,"503,404",0.89%
Bryce Canyon NP,35,"474,092",0.84%
Saguaro NP,36,"470,598",0.83%
Lassen Volcanic NP,37,"415,045",0.73%
Capitol Reef NP,38,"397,789",0.70%
Arches NP,39,"326,508",0.58%
Biscayne NP,40,"305,502",0.54%
Black Canyon of the Gunnison NP,41,"266,604",0.47%
Voyageurs NP,42,"257,490",0.45%
Denali NP & PRES,43,"256,593",0.45%
Great Sand Dunes NP & PRES,44,"172,505",0.30%
Big Bend NP,45,"167,332",0.30%
Pinnacles NP,46,"155,205",0.27%
Guadalupe Mountains NP,47,"142,641",0.25%
Canyonlands NP,48,"89,915",0.16%
Channel Islands NP,49,"87,514",0.15%
Glacier Bay NP & PRES,50,"85,071",0.15%
Great Basin NP,51,"33,367",0.06%
Isle Royale NP,52,"14,558",0.03%
Katmai NP & PRES,53,"13,115",0.02%
Dry Tortugas NP,54,"10,150",0.02%
