ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,319,290",16.20%
Acadia NP,2,"3,745,570",6.51%
Yosemite NP,3,"2,831,952",4.92%
Grand Canyon NP,4,"2,711,529",4.71%
Olympic NP,5,"2,532,145",4.40%
Rocky Mountain NP,6,"2,248,854",3.91%
Yellowstone NP,7,"2,226,159",3.87%
Gateway Arch NP,8,"2,140,316",3.72%
Shenandoah NP,9,"1,933,085",3.36%
Indiana Dunes NP,10,"1,800,326",3.13%
Glacier NP,11,"1,603,011",2.79%
Mammoth Cave NP,12,"1,507,939",2.62%
Zion NP,13,"1,503,272",2.61%
Grand Teton NP,14,"1,334,483",2.32%
Haleakala NP,15,"1,194,651",2.08%
Mount Rainier NP,16,"1,165,640",2.03%
Hot Springs NP,17,"1,112,764",1.93%
Cuyahoga Valley NP,18,"1,004,858",1.75%
Badlands NP,19,"950,242",1.65%
Sequoia NP,20,"939,468",1.63%
Kings Canyon NP,21,"874,456",1.52%
Hawaii Volcanoes NP,22,"816,652",1.42%
Petrified Forest NP,23,"736,659",1.28%
Carlsbad Caverns NP,24,"732,482",1.27%
Virgin Islands NP,25,"699,398",1.22%
Everglades NP,26,"697,646",1.21%
Mesa Verde NP,27,"656,271",1.14%
Joshua Tree NP,28,"641,172",1.11%
Saguaro NP,29,"636,711",1.11%
North Cascades NP,30,"629,234",1.09%
Death Valley NP,31,"576,679",1.00%
Redwood NP,32,"505,791",0.88%
Bryce Canyon NP,33,"500,782",0.87%
Wind Cave NP,34,"477,585",0.83%
Biscayne NP,35,"460,921",0.80%
Lassen Volcanic NP,36,"451,497",0.78%
Denali NP & PRES,37,"436,545",0.76%
Crater Lake NP,38,"390,604",0.68%
Theodore Roosevelt NP,39,"377,152",0.66%
Arches NP,40,"363,464",0.63%
Capitol Reef NP,41,"320,503",0.56%
Black Canyon of the Gunnison NP,42,"266,012",0.46%
Pinnacles NP,43,"191,578",0.33%
Big Bend NP,44,"188,045",0.33%
Voyageurs NP,45,"183,984",0.32%
Great Sand Dunes NP & PRES,46,"182,713",0.32%
Channel Islands NP,47,"164,132",0.29%
Guadalupe Mountains NP,48,"147,758",0.26%
Glacier Bay NP & PRES,49,"130,943",0.23%
Canyonlands NP,50,"116,672",0.20%
Great Basin NP,51,"36,343",0.06%
Kenai Fjords NP,52,"35,758",0.06%
Katmai NP & PRES,53,"25,142",0.04%
Wrangell-St. Elias NP & PRES,54,"23,171",0.04%
Isle Royale NP,55,"16,775",0.03%
Dry Tortugas NP,56,"13,213",0.02%
Lake Clark NP & PRES,57,"12,701",0.02%
Congaree NP,58,"12,332",0.02%
Gates of the Arctic NP & PRES,59,"1,381",0.00%
Kobuk Valley NP,60,"1,305",0.00%
