ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,151,769",12.89%
Grand Canyon NP,2,"3,776,685",5.97%
Yosemite NP,3,"3,124,939",4.94%
Yellowstone NP,4,"2,823,572",4.47%
Olympic NP,5,"2,794,903",4.42%
Rocky Mountain NP,6,"2,647,323",4.19%
Gateway Arch NP,7,"2,382,612",3.77%
Acadia NP,8,"2,339,591",3.70%
Zion NP,9,"2,102,400",3.32%
Glacier NP,10,"1,986,737",3.14%
Mammoth Cave NP,11,"1,924,538",3.04%
Indiana Dunes NP,12,"1,919,901",3.04%
Shenandoah NP,13,"1,771,780",2.80%
Grand Teton NP,14,"1,588,253",2.51%
Mount Rainier NP,15,"1,327,101",2.10%
Badlands NP,16,"1,326,475",2.10%
Haleakala NP,17,"1,260,601",1.99%
Cuyahoga Valley NP,18,"1,200,622",1.90%
Hot Springs NP,19,"1,123,175",1.78%
Hawaii Volcanoes NP,20,"1,096,816",1.73%
Sequoia NP,21,"1,063,538",1.68%
Kings Canyon NP,22,"1,062,867",1.68%
Joshua Tree NP,23,"1,022,396",1.62%
Everglades NP,24,"957,925",1.51%
Bryce Canyon NP,25,"862,659",1.36%
Petrified Forest NP,26,"844,592",1.34%
Carlsbad Caverns NP,27,"747,016",1.18%
Saguaro NP,28,"702,328",1.11%
Death Valley NP,29,"690,965",1.09%
Virgin Islands NP,30,"664,735",1.05%
Arches NP,31,"620,719",0.98%
Mesa Verde NP,32,"611,375",0.97%
Wind Cave NP,33,"586,464",0.93%
Biscayne NP,34,"573,376",0.91%
Capitol Reef NP,35,"562,477",0.89%
Denali NP & PRES,36,"546,693",0.86%
Lassen Volcanic NP,37,"460,917",0.73%
Theodore Roosevelt NP,38,"460,718",0.73%
North Cascades NP,39,"456,444",0.72%
Crater Lake NP,40,"384,941",0.61%
Redwood NP,41,"348,458",0.55%
Canyonlands NP,42,"276,831",0.44%
Black Canyon of the Gunnison NP,43,"275,323",0.44%
Great Sand Dunes NP & PRES,44,"272,136",0.43%
Big Bend NP,45,"257,378",0.41%
Voyageurs NP,46,"223,554",0.35%
Pinnacles NP,47,"214,268",0.34%
Guadalupe Mountains NP,48,"192,890",0.31%
Glacier Bay NP & PRES,49,"186,427",0.29%
Channel Islands NP,50,"144,083",0.23%
Kenai Fjords NP,51,"66,115",0.10%
Great Basin NP,52,"65,026",0.10%
Katmai NP & PRES,53,"40,778",0.06%
Wrangell-St. Elias NP & PRES,54,"35,976",0.06%
Isle Royale NP,55,"23,495",0.04%
Congaree NP,56,"23,223",0.04%
Dry Tortugas NP,57,"19,402",0.03%
Lake Clark NP & PRES,58,"10,196",0.02%
Kobuk Valley NP,59,"2,586",0.00%
Gates of the Arctic NP & PRES,60,"1,010",0.00%
