ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,440,953",15.80%
Acadia NP,2,"2,779,666",5.20%
Rocky Mountain NP,3,"2,641,937",4.95%
Grand Teton NP,4,"2,555,627",4.78%
Yosemite NP,5,"2,490,282",4.66%
Grand Canyon NP,6,"2,304,973",4.32%
Olympic NP,7,"2,032,418",3.81%
Yellowstone NP,8,"2,000,269",3.75%
Gateway Arch NP,9,"1,928,825",3.61%
Shenandoah NP,10,"1,699,228",3.18%
Hawaii Volcanoes NP,11,"1,692,338",3.17%
Mammoth Cave NP,12,"1,495,787",2.80%
Glacier NP,13,"1,474,578",2.76%
Mount Rainier NP,14,"1,268,256",2.37%
Indiana Dunes NP,15,"1,222,874",2.29%
Hot Springs NP,16,"1,160,588",2.17%
Zion NP,17,"1,123,846",2.10%
Badlands NP,18,"952,652",1.78%
Sequoia NP,19,"862,397",1.61%
Kings Canyon NP,20,"819,065",1.53%
North Cascades NP,21,"796,079",1.49%
Everglades NP,22,"744,244",1.39%
Petrified Forest NP,23,"683,121",1.28%
Carlsbad Caverns NP,24,"672,963",1.26%
Death Valley NP,25,"618,140",1.16%
Saguaro NP,26,"611,317",1.14%
Theodore Roosevelt NP,27,"595,734",1.12%
Bryce Canyon NP,28,"571,541",1.07%
Cuyahoga Valley NP,29,"563,300",1.05%
Haleakala NP,30,"560,238",1.05%
Virgin Islands NP,31,"547,918",1.03%
Joshua Tree NP,32,"545,357",1.02%
Mesa Verde NP,33,"539,257",1.01%
Wind Cave NP,34,"473,061",0.89%
Redwood NP,35,"471,710",0.88%
Crater Lake NP,36,"455,143",0.85%
Lassen Volcanic NP,37,"394,425",0.74%
Capitol Reef NP,38,"342,788",0.64%
Black Canyon of the Gunnison NP,39,"336,119",0.63%
Arches NP,40,"290,519",0.54%
Voyageurs NP,41,"266,935",0.50%
Biscayne NP,42,"248,071",0.46%
Denali NP & PRES,43,"216,361",0.41%
Big Bend NP,44,"174,008",0.33%
Pinnacles NP,45,"163,626",0.31%
Great Sand Dunes NP & PRES,46,"142,427",0.27%
Guadalupe Mountains NP,47,"113,825",0.21%
Channel Islands NP,48,"104,574",0.20%
Glacier Bay NP & PRES,49,"95,005",0.18%
Canyonlands NP,50,"56,505",0.11%
Great Basin NP,51,"33,383",0.06%
Isle Royale NP,52,"14,977",0.03%
Katmai NP & PRES,53,"11,824",0.02%
Dry Tortugas NP,54,"8,644",0.02%
