ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,197,697",13.21%
Grand Canyon NP,2,"4,104,809",5.89%
Gateway Arch NP,3,"3,532,524",5.07%
Olympic NP,4,"3,416,069",4.90%
Yosemite NP,5,"3,368,731",4.84%
Rocky Mountain NP,6,"3,139,685",4.51%
Cuyahoga Valley NP,7,"3,123,353",4.48%
Yellowstone NP,8,"2,758,526",3.96%
Grand Teton NP,9,"2,535,108",3.64%
Acadia NP,10,"2,516,551",3.61%
Zion NP,11,"2,217,779",3.18%
Mammoth Cave NP,12,"1,883,580",2.70%
Indiana Dunes NP,13,"1,735,404",2.49%
Glacier NP,14,"1,680,614",2.41%
Shenandoah NP,15,"1,498,561",2.15%
Haleakala NP,16,"1,410,974",2.03%
Hawaii Volcanoes NP,17,"1,343,286",1.93%
Mount Rainier NP,18,"1,301,103",1.87%
Hot Springs NP,19,"1,296,786",1.86%
Joshua Tree NP,20,"1,280,917",1.84%
Bryce Canyon NP,21,"1,068,619",1.53%
Everglades NP,22,"1,049,851",1.51%
Death Valley NP,23,"1,014,636",1.46%
Badlands NP,24,"955,469",1.37%
Sequoia NP,25,"870,327",1.25%
Arches NP,26,"754,026",1.08%
Saguaro NP,27,"725,874",1.04%
Virgin Islands NP,28,"677,401",0.97%
Wind Cave NP,29,"650,357",0.93%
Petrified Forest NP,30,"583,904",0.84%
Kings Canyon NP,31,"541,787",0.78%
Capitol Reef NP,32,"527,760",0.76%
Channel Islands NP,33,"520,428",0.75%
Mesa Verde NP,34,"513,409",0.74%
Biscayne NP,35,"489,343",0.70%
Crater Lake NP,36,"457,373",0.66%
Carlsbad Caverns NP,37,"455,621",0.65%
Theodore Roosevelt NP,38,"446,609",0.64%
Redwood NP,39,"388,352",0.56%
Glacier Bay NP & PRES,40,"380,114",0.55%
Lassen Volcanic NP,41,"376,695",0.54%
Canyonlands NP,42,"368,592",0.53%
Denali NP & PRES,43,"360,191",0.52%
Big Bend NP,44,"328,927",0.47%
Great Sand Dunes NP & PRES,45,"277,523",0.40%
Kenai Fjords NP,46,"262,353",0.38%
Voyageurs NP,47,"243,374",0.35%
Guadalupe Mountains NP,48,"222,307",0.32%
Black Canyon of the Gunnison NP,49,"181,018",0.26%
Pinnacles NP,50,"178,243",0.26%
Congaree NP,51,"119,738",0.17%
Great Basin NP,52,"81,712",0.12%
Dry Tortugas NP,53,"79,186",0.11%
Katmai NP & PRES,54,"67,038",0.10%
Wrangell-St. Elias NP & PRES,55,"28,643",0.04%
North Cascades NP,56,"27,739",0.04%
Isle Royale NP,57,"19,431",0.03%
Gates of the Arctic NP & PRES,58,"4,505",0.01%
Lake Clark NP & PRES,59,"4,397",0.01%
Kobuk Valley NP,60,"4,217",0.01%
