ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,508,390",15.04%
Acadia NP,2,"3,734,763",6.60%
Olympic NP,3,"2,759,011",4.88%
Yosemite NP,4,"2,738,467",4.84%
Rocky Mountain NP,5,"2,231,448",3.95%
Yellowstone NP,6,"2,222,027",3.93%
Grand Canyon NP,7,"2,173,584",3.84%
Hawaii Volcanoes NP,8,"2,008,608",3.55%
Glacier NP,9,"1,946,703",3.44%
Shenandoah NP,10,"1,869,307",3.30%
Gateway Arch NP,11,"1,709,993",3.02%
Indiana Dunes NP,12,"1,560,428",2.76%
Mammoth Cave NP,13,"1,501,450",2.65%
Zion NP,14,"1,377,254",2.43%
Grand Teton NP,15,"1,360,898",2.41%
Mount Rainier NP,16,"1,152,411",2.04%
Badlands NP,17,"1,113,675",1.97%
Hot Springs NP,18,"1,071,853",1.90%
Cuyahoga Valley NP,19,"1,018,828",1.80%
Haleakala NP,20,"1,003,821",1.77%
Sequoia NP,21,"979,632",1.73%
Kings Canyon NP,22,"937,262",1.66%
Petrified Forest NP,23,"714,761",1.26%
Carlsbad Caverns NP,24,"712,989",1.26%
Saguaro NP,25,"699,292",1.24%
Virgin Islands NP,26,"666,435",1.18%
Joshua Tree NP,27,"663,798",1.17%
North Cascades NP,28,"637,836",1.13%
Everglades NP,29,"628,658",1.11%
Death Valley NP,30,"621,197",1.10%
Wind Cave NP,31,"536,022",0.95%
Mesa Verde NP,32,"516,865",0.91%
Bryce Canyon NP,33,"495,104",0.88%
Redwood NP,34,"467,155",0.83%
Lassen Volcanic NP,35,"463,275",0.82%
Crater Lake NP,36,"419,829",0.74%
Denali NP & PRES,37,"395,099",0.70%
Theodore Roosevelt NP,38,"361,139",0.64%
Arches NP,39,"345,180",0.61%
Biscayne NP,40,"340,567",0.60%
Capitol Reef NP,41,"296,230",0.52%
Black Canyon of the Gunnison NP,42,"253,048",0.45%
Channel Islands NP,43,"203,411",0.36%
Big Bend NP,44,"167,665",0.30%
Pinnacles NP,45,"166,258",0.29%
Voyageurs NP,46,"154,723",0.27%
Guadalupe Mountains NP,47,"151,862",0.27%
Great Sand Dunes NP & PRES,48,"141,833",0.25%
Glacier Bay NP & PRES,49,"108,297",0.19%
Canyonlands NP,50,"102,533",0.18%
Great Basin NP,51,"37,676",0.07%
Kenai Fjords NP,52,"30,703",0.05%
Wrangell-St. Elias NP & PRES,53,"22,183",0.04%
Katmai NP & PRES,54,"20,074",0.04%
Lake Clark NP & PRES,55,"12,505",0.02%
Dry Tortugas NP,56,"11,900",0.02%
Isle Royale NP,57,"11,814",0.02%
Gates of the Arctic NP & PRES,58,"2,440",0.00%
Kobuk Valley NP,59,"1,075",0.00%
