ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,333,553",12.64%
Acadia NP,2,"5,440,952",8.25%
Grand Canyon NP,3,"3,966,209",6.02%
Yosemite NP,4,"3,308,159",5.02%
Olympic NP,5,"2,737,611",4.15%
Yellowstone NP,6,"2,644,442",4.01%
Gateway Arch NP,7,"2,518,712",3.82%
Rocky Mountain NP,8,"2,502,915",3.80%
Zion NP,9,"1,998,856",3.03%
Shenandoah NP,10,"1,873,817",2.84%
Glacier NP,11,"1,821,523",2.76%
Indiana Dunes NP,12,"1,791,902",2.72%
Mammoth Cave NP,13,"1,672,840",2.54%
Haleakala NP,14,"1,367,761",2.07%
Mount Rainier NP,15,"1,354,302",2.05%
Grand Teton NP,16,"1,331,659",2.02%
Hot Springs NP,17,"1,272,771",1.93%
Badlands NP,18,"1,237,956",1.88%
Cuyahoga Valley NP,19,"1,159,648",1.76%
Hawaii Volcanoes NP,20,"1,056,188",1.60%
Sequoia NP,21,"1,056,020",1.60%
Kings Canyon NP,22,"1,037,349",1.57%
Joshua Tree NP,23,"990,214",1.50%
Everglades NP,24,"913,372",1.39%
Petrified Forest NP,25,"824,141",1.25%
Bryce Canyon NP,26,"808,045",1.23%
Carlsbad Caverns NP,27,"792,378",1.20%
Saguaro NP,28,"706,191",1.07%
Death Valley NP,29,"664,449",1.01%
Virgin Islands NP,30,"664,032",1.01%
Redwood NP,31,"654,115",0.99%
Mesa Verde NP,32,"600,045",0.91%
Biscayne NP,33,"589,957",0.89%
Wind Cave NP,34,"561,758",0.85%
Arches NP,35,"555,809",0.84%
Denali NP & PRES,36,"543,640",0.82%
Capitol Reef NP,37,"515,278",0.78%
Lassen Volcanic NP,38,"466,115",0.71%
Theodore Roosevelt NP,39,"459,171",0.70%
Crater Lake NP,40,"430,734",0.65%
North Cascades NP,41,"391,433",0.59%
Black Canyon of the Gunnison NP,42,"288,586",0.44%
Big Bend NP,43,"281,728",0.43%
Great Sand Dunes NP & PRES,44,"266,321",0.40%
Canyonlands NP,45,"257,411",0.39%
Pinnacles NP,46,"218,601",0.33%
Voyageurs NP,47,"209,626",0.32%
Guadalupe Mountains NP,48,"168,872",0.26%
Channel Islands NP,49,"152,662",0.23%
Glacier Bay NP & PRES,50,"150,270",0.23%
Kenai Fjords NP,51,"75,557",0.11%
Great Basin NP,52,"70,259",0.11%
Katmai NP & PRES,53,"40,247",0.06%
Wrangell-St. Elias NP & PRES,54,"33,221",0.05%
Isle Royale NP,55,"27,133",0.04%
Congaree NP,56,"25,445",0.04%
Dry Tortugas NP,57,"19,441",0.03%
Lake Clark NP & PRES,58,"14,879",0.02%
Kobuk Valley NP,59,"1,970",0.00%
Gates of the Arctic NP & PRES,60,822,0.00%
