ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,008,830",13.42%
Grand Canyon NP,2,"4,298,178",6.40%
Yosemite NP,3,"3,951,393",5.89%
Yellowstone NP,4,"3,394,326",5.06%
Rocky Mountain NP,5,"3,176,941",4.73%
Olympic NP,6,"2,966,502",4.42%
Zion NP,7,"2,825,505",4.21%
Grand Teton NP,8,"2,587,437",3.86%
Acadia NP,9,"2,374,645",3.54%
Gateway Arch NP,10,"2,259,020",3.37%
Cuyahoga Valley NP,11,"2,161,185",3.22%
Glacier NP,12,"1,853,564",2.76%
Indiana Dunes NP,13,"1,840,513",2.74%
Hot Springs NP,14,"1,396,354",2.08%
Joshua Tree NP,15,"1,396,237",2.08%
Hawaii Volcanoes NP,16,"1,352,123",2.01%
Bryce Canyon NP,17,"1,296,000",1.93%
Shenandoah NP,18,"1,209,883",1.80%
Arches NP,19,"1,040,758",1.55%
Mount Rainier NP,20,"1,038,229",1.55%
Sequoia NP,21,"1,006,583",1.50%
Haleakala NP,22,"956,989",1.43%
Death Valley NP,23,"946,867",1.41%
Everglades NP,24,"934,351",1.39%
Badlands NP,25,"870,741",1.30%
Capitol Reef NP,26,"668,834",1.00%
Petrified Forest NP,27,"614,054",0.92%
Saguaro NP,28,"610,045",0.91%
Mesa Verde NP,29,"572,329",0.85%
Kings Canyon NP,30,"566,810",0.84%
Theodore Roosevelt NP,31,"563,407",0.84%
Wind Cave NP,32,"538,394",0.80%
Mammoth Cave NP,33,"483,319",0.72%
Biscayne NP,34,"476,077",0.71%
Canyonlands NP,35,"473,773",0.71%
Virgin Islands NP,36,"442,414",0.66%
Glacier Bay NP & PRES,37,"431,986",0.64%
Crater Lake NP,38,"423,551",0.63%
Denali NP & PRES,39,"406,582",0.61%
Pinnacles NP,40,"393,219",0.59%
Redwood NP,41,"380,167",0.57%
Carlsbad Caverns NP,42,"365,000",0.54%
Big Bend NP,43,"361,862",0.54%
Lassen Volcanic NP,44,"351,269",0.52%
Kenai Fjords NP,45,"346,852",0.52%
Great Sand Dunes NP & PRES,46,"280,058",0.42%
Channel Islands NP,47,"242,756",0.36%
Voyageurs NP,48,"177,184",0.26%
Black Canyon of the Gunnison NP,49,"168,336",0.25%
Guadalupe Mountains NP,50,"152,546",0.23%
Congaree NP,51,"120,166",0.18%
Great Basin NP,52,"91,451",0.14%
Dry Tortugas NP,53,"75,171",0.11%
Wrangell-St. Elias NP & PRES,54,"65,225",0.10%
Katmai NP & PRES,55,"48,939",0.07%
North Cascades NP,56,"19,208",0.03%
Isle Royale NP,57,"15,892",0.02%
Gates of the Arctic NP & PRES,58,"11,623",0.02%
Kobuk Valley NP,59,"11,485",0.02%
National Park of American Samoa,60,"8,716",0.01%
Lake Clark NP & PRES,61,"5,158",0.01%
