ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,192,477",13.36%
Grand Canyon NP,2,"4,401,522",6.40%
Yosemite NP,3,"3,304,144",4.80%
Olympic NP,4,"3,142,774",4.57%
Gateway Arch NP,5,"2,944,976",4.28%
Yellowstone NP,6,"2,835,651",4.12%
Rocky Mountain NP,7,"2,798,368",4.07%
Zion NP,8,"2,586,665",3.76%
Cuyahoga Valley NP,9,"2,533,827",3.68%
Grand Teton NP,10,"2,463,442",3.58%
Indiana Dunes NP,11,"2,127,336",3.09%
Acadia NP,12,"2,051,484",2.98%
Glacier NP,13,"1,925,101",2.80%
Mammoth Cave NP,14,"1,878,006",2.73%
Hawaii Volcanoes NP,15,"1,661,196",2.41%
Haleakala NP,16,"1,474,681",2.14%
Joshua Tree NP,17,"1,375,111",2.00%
Hot Springs NP,18,"1,340,160",1.95%
Everglades NP,19,"1,233,837",1.79%
Mount Rainier NP,20,"1,173,897",1.71%
Shenandoah NP,21,"1,094,912",1.59%
Bryce Canyon NP,22,"1,017,681",1.48%
Sequoia NP,23,"1,004,843",1.46%
Badlands NP,24,"909,146",1.32%
Virgin Islands NP,25,"803,040",1.17%
Death Valley NP,26,"800,113",1.16%
Arches NP,27,"781,670",1.14%
Saguaro NP,28,"727,208",1.06%
Wind Cave NP,29,"612,478",0.89%
Petrified Forest NP,30,"598,378",0.87%
Kings Canyon NP,31,"594,893",0.86%
Biscayne NP,32,"563,728",0.82%
Capitol Reef NP,33,"550,255",0.80%
Mesa Verde NP,34,"498,333",0.72%
Theodore Roosevelt NP,35,"493,198",0.72%
Crater Lake NP,36,"447,240",0.65%
Channel Islands NP,37,"434,107",0.63%
Carlsbad Caverns NP,38,"413,786",0.60%
Denali NP & PRES,39,"403,520",0.59%
Big Bend NP,40,"398,583",0.58%
Redwood NP,41,"394,144",0.57%
Canyonlands NP,42,"393,381",0.57%
Lassen Volcanic NP,43,"365,535",0.53%
Glacier Bay NP & PRES,44,"359,829",0.52%
Great Sand Dunes NP & PRES,45,"279,589",0.41%
Kenai Fjords NP,46,"258,297",0.38%
Voyageurs NP,47,"234,577",0.34%
Black Canyon of the Gunnison NP,48,"180,814",0.26%
Pinnacles NP,49,"170,994",0.25%
Guadalupe Mountains NP,50,"170,383",0.25%
Congaree NP,51,"84,301",0.12%
Great Basin NP,52,"77,741",0.11%
Dry Tortugas NP,53,"61,765",0.09%
Wrangell-St. Elias NP & PRES,54,"56,224",0.08%
Katmai NP & PRES,55,"54,274",0.08%
North Cascades NP,56,"18,686",0.03%
Isle Royale NP,57,"17,398",0.03%
Gates of the Arctic NP & PRES,58,"9,459",0.01%
Lake Clark NP & PRES,59,"5,408",0.01%
Kobuk Valley NP,60,"5,037",0.01%
