ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,435,475",14.54%
Acadia NP,2,"4,124,639",7.11%
Gateway Arch NP,3,"2,948,022",5.08%
Rocky Mountain NP,4,"2,599,006",4.48%
Yosemite NP,5,"2,457,464",4.24%
Olympic NP,6,"2,410,722",4.16%
Yellowstone NP,7,"2,347,242",4.05%
Grand Canyon NP,8,"2,248,082",3.88%
Hawaii Volcanoes NP,9,"2,247,974",3.88%
Glacier NP,10,"2,203,847",3.80%
Shenandoah NP,11,"1,768,378",3.05%
Grand Teton NP,12,"1,532,035",2.64%
Indiana Dunes NP,13,"1,510,630",2.60%
Mammoth Cave NP,14,"1,498,503",2.58%
Zion NP,15,"1,273,030",2.19%
Hot Springs NP,16,"1,160,008",2.00%
Mount Rainier NP,17,"1,106,306",1.91%
Badlands NP,18,"1,026,981",1.77%
Cuyahoga Valley NP,19,"939,562",1.62%
Haleakala NP,20,"864,289",1.49%
North Cascades NP,21,"858,041",1.48%
Sequoia NP,22,"854,233",1.47%
Kings Canyon NP,23,"765,755",1.32%
Carlsbad Caverns NP,24,"712,247",1.23%
Petrified Forest NP,25,"708,512",1.22%
Virgin Islands NP,26,"676,800",1.17%
Joshua Tree NP,27,"671,426",1.16%
Death Valley NP,28,"635,582",1.10%
Saguaro NP,29,"634,688",1.09%
Mesa Verde NP,30,"604,115",1.04%
Everglades NP,31,"577,439",1.00%
Wind Cave NP,32,"503,739",0.87%
Redwood NP,33,"473,711",0.82%
Bryce Canyon NP,34,"472,633",0.81%
Lassen Volcanic NP,35,"429,867",0.74%
Theodore Roosevelt NP,36,"415,118",0.72%
Crater Lake NP,37,"379,008",0.65%
Biscayne NP,38,"369,082",0.64%
Denali NP & PRES,39,"346,082",0.60%
Capitol Reef NP,40,"331,734",0.57%
Black Canyon of the Gunnison NP,41,"291,618",0.50%
Arches NP,42,"287,875",0.50%
Channel Islands NP,43,"205,024",0.35%
Pinnacles NP,44,"170,631",0.29%
Big Bend NP,45,"164,926",0.28%
Great Sand Dunes NP & PRES,46,"150,177",0.26%
Voyageurs NP,47,"146,454",0.25%
Guadalupe Mountains NP,48,"142,736",0.25%
Canyonlands NP,49,"100,022",0.17%
Glacier Bay NP & PRES,50,"92,057",0.16%
Great Basin NP,51,"30,335",0.05%
Kenai Fjords NP,52,"24,048",0.04%
Wrangell-St. Elias NP & PRES,53,"18,760",0.03%
Isle Royale NP,54,"12,928",0.02%
Lake Clark NP & PRES,55,"12,332",0.02%
Katmai NP & PRES,56,"11,182",0.02%
Dry Tortugas NP,57,"11,004",0.02%
Kobuk Valley NP,58,"2,365",0.00%
Gates of the Arctic NP & PRES,59,"2,138",0.00%
