ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,685,829",13.94%
Grand Canyon NP,2,"4,421,352",6.36%
Yosemite NP,3,"3,853,404",5.55%
Yellowstone NP,4,"3,447,729",4.96%
Rocky Mountain NP,5,"3,229,617",4.65%
Zion NP,6,"2,973,607",4.28%
Olympic NP,7,"2,824,908",4.07%
Grand Teton NP,8,"2,705,256",3.89%
Gateway Arch NP,9,"2,496,726",3.59%
Acadia NP,10,"2,431,052",3.50%
Cuyahoga Valley NP,11,"2,299,722",3.31%
Glacier NP,12,"2,162,035",3.11%
Indiana Dunes NP,13,"1,889,381",2.72%
Hawaii Volcanoes NP,14,"1,483,928",2.14%
Joshua Tree NP,15,"1,396,117",2.01%
Bryce Canyon NP,16,"1,385,352",1.99%
Hot Springs NP,17,"1,302,505",1.87%
Shenandoah NP,18,"1,210,200",1.74%
Everglades NP,19,"1,141,906",1.64%
Sequoia NP,20,"1,106,584",1.59%
Haleakala NP,21,"1,094,668",1.58%
Arches NP,22,"1,070,577",1.54%
Mount Rainier NP,23,"1,049,178",1.51%
Death Valley NP,24,"984,568",1.42%
Badlands NP,25,"883,406",1.27%
Capitol Reef NP,26,"673,345",0.97%
Petrified Forest NP,27,"664,857",0.96%
Theodore Roosevelt NP,28,"640,555",0.92%
Saguaro NP,29,"634,286",0.91%
Kings Canyon NP,30,"591,033",0.85%
Wind Cave NP,31,"529,083",0.76%
Mammoth Cave NP,32,"508,054",0.73%
Biscayne NP,33,"495,613",0.71%
Mesa Verde NP,34,"488,860",0.70%
Virgin Islands NP,35,"483,341",0.70%
Glacier Bay NP & PRES,36,"454,337",0.65%
Canyonlands NP,37,"452,952",0.65%
Crater Lake NP,38,"447,251",0.64%
Lassen Volcanic NP,39,"407,653",0.59%
Denali NP & PRES,40,"388,433",0.56%
Carlsbad Caverns NP,41,"381,058",0.55%
Redwood NP,42,"352,517",0.51%
Big Bend NP,43,"292,055",0.42%
Kenai Fjords NP,44,"281,279",0.40%
Great Sand Dunes NP & PRES,45,"254,674",0.37%
Channel Islands NP,46,"249,594",0.36%
Pinnacles NP,47,"224,476",0.32%
Voyageurs NP,48,"214,841",0.31%
Black Canyon of the Gunnison NP,49,"192,570",0.28%
Guadalupe Mountains NP,50,"159,360",0.23%
Congaree NP,51,"109,685",0.16%
Great Basin NP,52,"94,850",0.14%
Wrangell-St. Elias NP & PRES,53,"87,158",0.13%
Dry Tortugas NP,54,"60,550",0.09%
Katmai NP & PRES,55,"39,818",0.06%
Kobuk Valley NP,56,"29,550",0.04%
North Cascades NP,57,"26,935",0.04%
Isle Royale NP,58,"16,663",0.02%
Lake Clark NP & PRES,59,"11,639",0.02%
Gates of the Arctic NP & PRES,60,"10,899",0.02%
National Park of American Samoa,61,"10,440",0.02%
