ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,283,848",13.21%
Grand Canyon NP,2,"4,575,602",6.51%
Yosemite NP,3,"3,839,645",5.46%
Yellowstone NP,4,"2,912,193",4.14%
Rocky Mountain NP,5,"2,780,342",3.96%
Olympic NP,6,"2,679,598",3.81%
Acadia NP,7,"2,656,034",3.78%
Grand Teton NP,8,"2,568,689",3.65%
Gateway Arch NP,9,"2,539,740",3.61%
Mammoth Cave NP,10,"2,396,234",3.41%
Zion NP,11,"2,392,580",3.40%
Cuyahoga Valley NP,12,"2,266,139",3.22%
Glacier NP,13,"2,141,704",3.05%
Shenandoah NP,14,"1,951,366",2.78%
Indiana Dunes NP,15,"1,763,094",2.51%
Hot Springs NP,16,"1,477,299",2.10%
Mount Rainier NP,17,"1,365,213",1.94%
Haleakala NP,18,"1,317,433",1.87%
Joshua Tree NP,19,"1,252,401",1.78%
Badlands NP,20,"1,179,458",1.68%
Hawaii Volcanoes NP,21,"1,143,741",1.63%
Bryce Canyon NP,22,"1,107,951",1.58%
Sequoia NP,23,"1,066,552",1.52%
Death Valley NP,24,"998,474",1.42%
Everglades NP,25,"973,706",1.39%
Petrified Forest NP,26,"936,429",1.33%
Saguaro NP,27,"828,267",1.18%
Virgin Islands NP,28,"807,093",1.15%
Arches NP,29,"773,678",1.10%
Carlsbad Caverns NP,30,"687,161",0.98%
Mesa Verde NP,31,"666,054",0.95%
Kings Canyon NP,32,"636,515",0.91%
Capitol Reef NP,33,"610,707",0.87%
Wind Cave NP,34,"537,075",0.76%
Denali NP & PRES,35,"505,565",0.72%
Theodore Roosevelt NP,36,"475,160",0.68%
Canyonlands NP,37,"434,844",0.62%
Lassen Volcanic NP,38,"434,264",0.62%
Redwood NP,39,"421,027",0.60%
Crater Lake NP,40,"381,747",0.54%
Big Bend NP,41,"327,907",0.47%
Black Canyon of the Gunnison NP,42,"319,322",0.45%
Great Sand Dunes NP & PRES,43,"294,282",0.42%
Glacier Bay NP & PRES,44,"242,276",0.34%
Voyageurs NP,45,"228,143",0.32%
Guadalupe Mountains NP,46,"201,054",0.29%
Pinnacles NP,47,"194,757",0.28%
Kenai Fjords NP,48,"189,712",0.27%
Channel Islands NP,49,"184,867",0.26%
Great Basin NP,50,"91,915",0.13%
Congaree NP,51,"54,669",0.08%
Katmai NP & PRES,52,"53,421",0.08%
Wrangell-St. Elias NP & PRES,53,"45,335",0.06%
Dry Tortugas NP,54,"24,020",0.03%
Isle Royale NP,55,"21,983",0.03%
North Cascades NP,56,"21,378",0.03%
Biscayne NP,57,"19,950",0.03%
Lake Clark NP & PRES,58,"12,153",0.02%
Kobuk Valley NP,59,"2,816",0.00%
Gates of the Arctic NP & PRES,60,"2,245",0.00%
