ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,080,420",12.33%
Grand Canyon NP,2,"4,557,645",6.19%
Yosemite NP,3,"3,958,406",5.37%
Olympic NP,4,"3,658,615",4.97%
Gateway Arch NP,5,"3,234,977",4.39%
Cuyahoga Valley NP,6,"3,195,207",4.34%
Yellowstone NP,7,"3,125,285",4.24%
Rocky Mountain NP,8,"2,878,169",3.91%
Acadia NP,9,"2,845,378",3.86%
Grand Teton NP,10,"2,731,015",3.71%
Zion NP,11,"2,430,162",3.30%
Mammoth Cave NP,12,"1,935,709",2.63%
Glacier NP,13,"1,839,518",2.50%
Shenandoah NP,14,"1,757,794",2.39%
Indiana Dunes NP,15,"1,696,488",2.30%
Hot Springs NP,16,"1,617,077",2.19%
Haleakala NP,17,"1,594,596",2.16%
Mount Rainier NP,18,"1,438,227",1.95%
Joshua Tree NP,19,"1,235,702",1.68%
Hawaii Volcanoes NP,20,"1,175,028",1.59%
Death Valley NP,21,"1,109,421",1.51%
Badlands NP,22,"1,075,569",1.46%
Bryce Canyon NP,23,"994,548",1.35%
Petrified Forest NP,24,"935,065",1.27%
Arches NP,25,"859,374",1.17%
Sequoia NP,26,"844,582",1.15%
Kings Canyon NP,27,"832,794",1.13%
Everglades NP,28,"820,466",1.11%
Wind Cave NP,29,"805,688",1.09%
Saguaro NP,30,"732,813",0.99%
Mesa Verde NP,31,"663,794",0.90%
Capitol Reef NP,32,"648,864",0.88%
Carlsbad Caverns NP,33,"588,609",0.80%
Biscayne NP,34,"584,519",0.79%
Redwood NP,35,"552,464",0.75%
Denali NP & PRES,36,"543,309",0.74%
Virgin Islands NP,37,"536,058",0.73%
Channel Islands NP,38,"525,882",0.71%
Crater Lake NP,39,"496,041",0.67%
Theodore Roosevelt NP,40,"460,699",0.63%
Canyonlands NP,41,"448,769",0.61%
Lassen Volcanic NP,42,"351,001",0.48%
Great Sand Dunes NP & PRES,43,"323,663",0.44%
Big Bend NP,44,"295,460",0.40%
Glacier Bay NP & PRES,45,"252,265",0.34%
Kenai Fjords NP,46,"230,657",0.31%
Black Canyon of the Gunnison NP,47,"221,113",0.30%
Voyageurs NP,48,"210,938",0.29%
Guadalupe Mountains NP,49,"208,972",0.28%
Pinnacles NP,50,"177,527",0.24%
Great Basin NP,51,"87,829",0.12%
Congaree NP,52,"67,949",0.09%
North Cascades NP,53,"65,984",0.09%
Wrangell-St. Elias NP & PRES,54,"54,430",0.07%
Dry Tortugas NP,55,"32,870",0.04%
Isle Royale NP,56,"23,470",0.03%
Lake Clark NP & PRES,57,"12,698",0.02%
Gates of the Arctic NP & PRES,58,"7,074",0.01%
Kobuk Valley NP,59,"2,781",0.00%
