ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,965,075",13.38%
Grand Canyon NP,2,"4,791,668",6.44%
Olympic NP,3,"3,846,709",5.17%
Yosemite NP,4,"3,669,970",4.93%
Cuyahoga Valley NP,5,"3,527,837",4.74%
Gateway Arch NP,6,"3,420,076",4.59%
Rocky Mountain NP,7,"2,965,354",3.98%
Yellowstone NP,8,"2,889,513",3.88%
Acadia NP,9,"2,760,306",3.71%
Grand Teton NP,10,"2,658,762",3.57%
Zion NP,11,"2,445,534",3.28%
Mammoth Cave NP,12,"1,997,658",2.68%
Hawaii Volcanoes NP,13,"1,832,087",2.46%
Glacier NP,14,"1,708,856",2.30%
Haleakala NP,15,"1,673,561",2.25%
Shenandoah NP,16,"1,587,790",2.13%
Hot Springs NP,17,"1,509,596",2.03%
Indiana Dunes NP,18,"1,483,782",1.99%
Mount Rainier NP,19,"1,315,773",1.77%
Joshua Tree NP,20,"1,226,273",1.65%
Death Valley NP,21,"1,188,212",1.60%
Bryce Canyon NP,22,"1,174,824",1.58%
Sequoia NP,23,"1,008,931",1.36%
Everglades NP,24,"989,532",1.33%
Badlands NP,25,"970,696",1.30%
Arches NP,26,"858,525",1.15%
Wind Cave NP,27,"832,033",1.12%
Petrified Forest NP,28,"823,266",1.11%
Saguaro NP,29,"739,410",0.99%
Mesa Verde NP,30,"627,720",0.84%
Capitol Reef NP,31,"625,680",0.84%
Virgin Islands NP,32,"592,537",0.80%
Carlsbad Caverns NP,33,"540,797",0.73%
Channel Islands NP,34,"488,757",0.66%
Kings Canyon NP,35,"484,718",0.65%
Crater Lake NP,36,"451,548",0.61%
Canyonlands NP,37,"432,697",0.58%
Theodore Roosevelt NP,38,"393,265",0.53%
Biscayne NP,39,"392,069",0.53%
Lassen Volcanic NP,40,"391,816",0.53%
Redwood NP,41,"382,488",0.51%
Denali NP & PRES,42,"354,278",0.48%
Glacier Bay NP & PRES,43,"347,046",0.47%
Great Sand Dunes NP & PRES,44,"309,855",0.42%
Kenai Fjords NP,45,"306,164",0.41%
Big Bend NP,46,"305,882",0.41%
Guadalupe Mountains NP,47,"231,980",0.31%
Voyageurs NP,48,"223,418",0.30%
Black Canyon of the Gunnison NP,49,"209,863",0.28%
Pinnacles NP,50,"171,971",0.23%
Great Basin NP,51,"90,760",0.12%
Congaree NP,52,"70,716",0.09%
Dry Tortugas NP,53,"47,224",0.06%
Wrangell-St. Elias NP & PRES,54,"31,833",0.04%
North Cascades NP,55,"27,203",0.04%
Isle Royale NP,56,"21,381",0.03%
Katmai NP & PRES,57,"18,802",0.03%
Lake Clark NP & PRES,58,"9,173",0.01%
Gates of the Arctic NP & PRES,59,"6,949",0.01%
Kobuk Valley NP,60,"2,781",0.00%
