ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,836,306",16.04%
Acadia NP,2,"3,929,054",6.41%
Grand Canyon NP,3,"3,035,787",4.95%
Olympic NP,4,"2,940,034",4.80%
Yosemite NP,5,"2,876,717",4.69%
Rocky Mountain NP,6,"2,408,234",3.93%
Yellowstone NP,7,"2,363,756",3.86%
Gateway Arch NP,8,"2,311,147",3.77%
Shenandoah NP,9,"1,843,985",3.01%
Indiana Dunes NP,10,"1,676,583",2.73%
Zion NP,11,"1,670,503",2.72%
Mammoth Cave NP,12,"1,646,673",2.69%
Glacier NP,13,"1,579,151",2.58%
Grand Teton NP,14,"1,306,322",2.13%
Mount Rainier NP,15,"1,298,457",2.12%
Haleakala NP,16,"1,281,219",2.09%
Hot Springs NP,17,"1,175,170",1.92%
Sequoia NP,18,"1,056,527",1.72%
Cuyahoga Valley NP,19,"1,042,148",1.70%
Kings Canyon NP,20,"1,028,785",1.68%
Badlands NP,21,"1,025,630",1.67%
Hawaii Volcanoes NP,22,"898,023",1.46%
Joshua Tree NP,23,"783,224",1.28%
Virgin Islands NP,24,"766,458",1.25%
Petrified Forest NP,25,"761,257",1.24%
Carlsbad Caverns NP,26,"752,552",1.23%
Everglades NP,27,"739,072",1.21%
North Cascades NP,28,"683,056",1.11%
Mesa Verde NP,29,"658,888",1.07%
Saguaro NP,30,"613,651",1.00%
Death Valley NP,31,"586,668",0.96%
Bryce Canyon NP,32,"578,018",0.94%
Biscayne NP,33,"578,013",0.94%
Redwood NP,34,"567,849",0.93%
Denali NP & PRES,35,"529,749",0.86%
Wind Cave NP,36,"483,334",0.79%
Lassen Volcanic NP,37,"439,723",0.72%
Arches NP,38,"419,444",0.68%
Crater Lake NP,39,"402,789",0.66%
Theodore Roosevelt NP,40,"390,553",0.64%
Capitol Reef NP,41,"383,742",0.63%
Black Canyon of the Gunnison NP,42,"289,117",0.47%
Great Sand Dunes NP & PRES,43,"221,449",0.36%
Big Bend NP,44,"200,622",0.33%
Pinnacles NP,45,"198,236",0.32%
Canyonlands NP,46,"172,987",0.28%
Channel Islands NP,47,"172,913",0.28%
Voyageurs NP,48,"172,137",0.28%
Guadalupe Mountains NP,49,"163,313",0.27%
Glacier Bay NP & PRES,50,"136,877",0.22%
Kenai Fjords NP,51,"54,296",0.09%
Katmai NP & PRES,52,"41,663",0.07%
Great Basin NP,53,"40,359",0.07%
Wrangell-St. Elias NP & PRES,54,"26,557",0.04%
Isle Royale NP,55,"26,122",0.04%
Congaree NP,56,"16,508",0.03%
Dry Tortugas NP,57,"15,379",0.03%
Lake Clark NP & PRES,58,"13,611",0.02%
Gates of the Arctic NP & PRES,59,"2,801",0.00%
Kobuk Valley NP,60,"1,085",0.00%
