ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,019,788",15.42%
Acadia NP,2,"2,787,366",5.36%
Rocky Mountain NP,3,"2,568,530",4.94%
Grand Teton NP,4,"2,446,171",4.70%
Yosemite NP,5,"2,350,782",4.52%
Grand Canyon NP,6,"2,131,716",4.10%
Olympic NP,7,"2,078,843",4.00%
Yellowstone NP,8,"1,892,908",3.64%
Gateway Arch NP,9,"1,859,431",3.57%
Hawaii Volcanoes NP,10,"1,632,589",3.14%
Indiana Dunes NP,11,"1,606,166",3.09%
Shenandoah NP,12,"1,521,451",2.92%
Mount Rainier NP,13,"1,516,703",2.92%
Glacier NP,14,"1,446,086",2.78%
Mammoth Cave NP,15,"1,384,910",2.66%
Hot Springs NP,16,"1,118,800",2.15%
Zion NP,17,"1,040,528",2.00%
Badlands NP,18,"858,000",1.65%
Kings Canyon NP,19,"804,175",1.55%
Sequoia NP,20,"799,576",1.54%
North Cascades NP,21,"742,997",1.43%
Carlsbad Caverns NP,22,"721,647",1.39%
Everglades NP,23,"718,102",1.38%
Haleakala NP,24,"673,955",1.30%
Petrified Forest NP,25,"671,583",1.29%
Death Valley NP,26,"631,152",1.21%
Theodore Roosevelt NP,27,"591,646",1.14%
Joshua Tree NP,28,"590,543",1.14%
Saguaro NP,29,"566,486",1.09%
Bryce Canyon NP,30,"558,095",1.07%
Virgin Islands NP,31,"549,732",1.06%
Cuyahoga Valley NP,32,"543,025",1.04%
Mesa Verde NP,33,"473,715",0.91%
Wind Cave NP,34,"457,443",0.88%
Redwood NP,35,"413,917",0.80%
Crater Lake NP,36,"410,749",0.79%
Lassen Volcanic NP,37,"380,014",0.73%
Capitol Reef NP,38,"288,860",0.56%
Big Bend NP,39,"282,941",0.54%
Arches NP,40,"269,840",0.52%
Denali NP & PRES,41,"251,105",0.48%
Black Canyon of the Gunnison NP,42,"234,286",0.45%
Biscayne NP,43,"202,938",0.39%
Voyageurs NP,44,"195,277",0.38%
Great Sand Dunes NP & PRES,45,"162,546",0.31%
Pinnacles NP,46,"153,717",0.30%
Guadalupe Mountains NP,47,"110,478",0.21%
Glacier Bay NP & PRES,48,"91,032",0.17%
Channel Islands NP,49,"82,937",0.16%
Canyonlands NP,50,"74,545",0.14%
Great Basin NP,51,"29,947",0.06%
Isle Royale NP,52,"14,782",0.03%
Katmai NP & PRES,53,"10,659",0.02%
Dry Tortugas NP,54,"9,076",0.02%
