ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,628,174",12.11%
Grand Canyon NP,2,"4,364,316",6.12%
Yosemite NP,3,"3,962,117",5.56%
Olympic NP,4,"3,381,573",4.74%
Cuyahoga Valley NP,5,"3,266,401",4.58%
Yellowstone NP,6,"3,046,145",4.27%
Rocky Mountain NP,7,"2,968,450",4.17%
Acadia NP,8,"2,710,749",3.80%
Gateway Arch NP,9,"2,553,696",3.58%
Grand Teton NP,10,"2,540,699",3.56%
Zion NP,11,"2,270,871",3.19%
Glacier NP,12,"2,152,989",3.02%
Mammoth Cave NP,13,"2,009,935",2.82%
Shenandoah NP,14,"1,926,883",2.70%
Indiana Dunes NP,15,"1,699,958",2.39%
Hot Springs NP,16,"1,618,847",2.27%
Haleakala NP,17,"1,527,329",2.14%
Mount Rainier NP,18,"1,426,244",2.00%
Joshua Tree NP,19,"1,184,871",1.66%
Hawaii Volcanoes NP,20,"1,174,289",1.65%
Badlands NP,21,"1,130,459",1.59%
Sequoia NP,22,"1,034,133",1.45%
Bryce Canyon NP,23,"1,028,134",1.44%
Death Valley NP,24,"971,487",1.36%
Petrified Forest NP,25,"922,927",1.29%
Everglades NP,26,"886,455",1.24%
Wind Cave NP,27,"871,061",1.22%
Arches NP,28,"777,178",1.09%
Saguaro NP,29,"768,685",1.08%
Kings Canyon NP,30,"725,930",1.02%
Mesa Verde NP,31,"685,031",0.96%
Virgin Islands NP,32,"635,291",0.89%
Carlsbad Caverns NP,33,"617,087",0.87%
Capitol Reef NP,34,"605,324",0.85%
Theodore Roosevelt NP,35,"505,349",0.71%
Denali NP & PRES,36,"490,311",0.69%
Redwood NP,37,"475,033",0.67%
Crater Lake NP,38,"454,215",0.64%
Canyonlands NP,39,"429,921",0.60%
Lassen Volcanic NP,40,"385,489",0.54%
Big Bend NP,41,"330,417",0.46%
Great Sand Dunes NP & PRES,42,"312,225",0.44%
Glacier Bay NP & PRES,43,"250,614",0.35%
Voyageurs NP,44,"224,181",0.31%
Black Canyon of the Gunnison NP,45,"214,194",0.30%
Kenai Fjords NP,46,"209,516",0.29%
Guadalupe Mountains NP,47,"203,520",0.29%
Channel Islands NP,48,"175,226",0.25%
Pinnacles NP,49,"172,642",0.24%
Great Basin NP,50,"88,024",0.12%
Congaree NP,51,"67,756",0.10%
Katmai NP & PRES,52,"55,728",0.08%
Wrangell-St. Elias NP & PRES,53,"50,146",0.07%
Biscayne NP,54,"25,147",0.04%
Isle Royale NP,55,"24,843",0.03%
North Cascades NP,56,"19,323",0.03%
Dry Tortugas NP,57,"16,736",0.02%
Lake Clark NP & PRES,58,"12,143",0.02%
Kobuk Valley NP,59,"2,781",0.00%
Gates of the Arctic NP & PRES,60,"1,726",0.00%
