ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,654,459",12.93%
Grand Canyon NP,2,"3,886,031",5.81%
Yosemite NP,3,"3,423,101",5.12%
Yellowstone NP,4,"2,920,537",4.36%
Olympic NP,5,"2,759,673",4.12%
Rocky Mountain NP,6,"2,751,781",4.11%
Gateway Arch NP,7,"2,622,425",3.92%
Acadia NP,8,"2,475,857",3.70%
Zion NP,9,"2,236,997",3.34%
Mammoth Cave NP,10,"2,158,195",3.22%
Glacier NP,11,"2,096,966",3.13%
Indiana Dunes NP,12,"2,058,801",3.08%
Shenandoah NP,13,"1,939,486",2.90%
Grand Teton NP,14,"1,625,752",2.43%
Mount Rainier NP,15,"1,549,412",2.32%
Badlands NP,16,"1,518,396",2.27%
Cuyahoga Valley NP,17,"1,358,984",2.03%
Everglades NP,18,"1,292,014",1.93%
Hawaii Volcanoes NP,19,"1,238,653",1.85%
Haleakala NP,20,"1,228,332",1.84%
Hot Springs NP,21,"1,203,929",1.80%
Joshua Tree NP,22,"1,145,458",1.71%
Sequoia NP,23,"1,120,278",1.67%
Kings Canyon NP,24,"1,071,022",1.60%
Bryce Canyon NP,25,"929,067",1.39%
Petrified Forest NP,26,"874,521",1.31%
Death Valley NP,27,"743,608",1.11%
Virgin Islands NP,28,"710,180",1.06%
Arches NP,29,"705,882",1.05%
Carlsbad Caverns NP,30,"679,450",1.02%
Saguaro NP,31,"679,034",1.01%
Mesa Verde NP,32,"678,075",1.01%
Capitol Reef NP,33,"618,056",0.92%
Wind Cave NP,34,"597,057",0.89%
Denali NP & PRES,35,"558,870",0.84%
Biscayne NP,36,"488,134",0.73%
Theodore Roosevelt NP,37,"468,926",0.70%
Lassen Volcanic NP,38,"463,179",0.69%
Crater Lake NP,39,"456,931",0.68%
Redwood NP,40,"366,280",0.55%
Canyonlands NP,41,"339,315",0.51%
Black Canyon of the Gunnison NP,42,"316,336",0.47%
Big Bend NP,43,"296,470",0.44%
Great Sand Dunes NP & PRES,44,"295,070",0.44%
Voyageurs NP,45,"221,857",0.33%
Glacier Bay NP & PRES,46,"203,653",0.30%
Guadalupe Mountains NP,47,"200,398",0.30%
Pinnacles NP,48,"192,610",0.29%
Channel Islands NP,49,"149,263",0.22%
Kenai Fjords NP,50,"107,041",0.16%
Great Basin NP,51,"63,864",0.10%
Katmai NP & PRES,52,"41,417",0.06%
Wrangell-St. Elias NP & PRES,53,"38,971",0.06%
Congaree NP,54,"30,975",0.05%
North Cascades NP,55,"22,796",0.03%
Isle Royale NP,56,"22,004",0.03%
Dry Tortugas NP,57,"18,231",0.03%
Lake Clark NP & PRES,58,"4,133",0.01%
Kobuk Valley NP,59,"2,795",0.00%
Gates of the Arctic NP & PRES,60,"1,154",0.00%
