ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,177,869",14.38%
Acadia NP,2,"3,572,114",6.28%
Gateway Arch NP,3,"2,967,323",5.22%
Rocky Mountain NP,4,"2,564,116",4.51%
Grand Teton NP,5,"2,534,029",4.46%
Olympic NP,6,"2,478,739",4.36%
Yosemite NP,7,"2,415,587",4.25%
Yellowstone NP,8,"2,368,897",4.17%
Grand Canyon NP,9,"2,293,127",4.03%
Hawaii Volcanoes NP,10,"1,995,397",3.51%
Shenandoah NP,11,"1,751,972",3.08%
Glacier NP,12,"1,666,114",2.93%
Mammoth Cave NP,13,"1,526,676",2.68%
Zion NP,14,"1,246,290",2.19%
Indiana Dunes NP,15,"1,066,573",1.88%
Badlands NP,16,"1,030,484",1.81%
Sequoia NP,17,"1,020,500",1.79%
Hot Springs NP,18,"1,015,580",1.79%
Mount Rainier NP,19,"1,007,300",1.77%
North Cascades NP,20,"857,016",1.51%
Kings Canyon NP,21,"831,044",1.46%
Carlsbad Caverns NP,22,"781,963",1.38%
Haleakala NP,23,"771,762",1.36%
Cuyahoga Valley NP,24,"717,815",1.26%
Petrified Forest NP,25,"710,619",1.25%
Death Valley NP,26,"679,992",1.20%
Theodore Roosevelt NP,27,"677,014",1.19%
Virgin Islands NP,28,"673,480",1.18%
Joshua Tree NP,29,"673,201",1.18%
Mesa Verde NP,30,"602,968",1.06%
Saguaro NP,31,"566,807",1.00%
Everglades NP,32,"550,168",0.97%
Bryce Canyon NP,33,"471,517",0.83%
Wind Cave NP,34,"467,392",0.82%
Redwood NP,35,"467,126",0.82%
Crater Lake NP,36,"435,589",0.77%
Lassen Volcanic NP,37,"414,859",0.73%
Biscayne NP,38,"348,219",0.61%
Arches NP,39,"339,415",0.60%
Denali NP & PRES,40,"321,868",0.57%
Capitol Reef NP,41,"289,486",0.51%
Black Canyon of the Gunnison NP,42,"227,428",0.40%
Big Bend NP,43,"180,144",0.32%
Great Sand Dunes NP & PRES,44,"175,273",0.31%
Channel Islands NP,45,"172,287",0.30%
Pinnacles NP,46,"171,026",0.30%
Voyageurs NP,47,"143,724",0.25%
Guadalupe Mountains NP,48,"140,620",0.25%
Canyonlands NP,49,"97,079",0.17%
Glacier Bay NP & PRES,50,"90,354",0.16%
Great Basin NP,51,"32,264",0.06%
Kenai Fjords NP,52,"16,118",0.03%
Wrangell-St. Elias NP & PRES,53,"14,871",0.03%
Katmai NP & PRES,54,"14,377",0.03%
Isle Royale NP,55,"13,238",0.02%
Dry Tortugas NP,56,"10,700",0.02%
Lake Clark NP & PRES,57,"10,440",0.02%
Kobuk Valley NP,58,"3,775",0.01%
Gates of the Arctic NP & PRES,59,"1,381",0.00%
