ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,770,781",13.47%
Acadia NP,2,"4,502,283",6.91%
Grand Canyon NP,3,"3,859,886",5.93%
Yosemite NP,4,"3,216,681",4.94%
Olympic NP,5,"2,959,122",4.54%
Rocky Mountain NP,6,"2,544,211",3.91%
Gateway Arch NP,7,"2,477,458",3.80%
Yellowstone NP,8,"2,182,113",3.35%
Zion NP,9,"1,948,332",2.99%
Shenandoah NP,10,"1,937,155",2.97%
Indiana Dunes NP,11,"1,885,376",2.89%
Glacier NP,12,"1,817,733",2.79%
Mammoth Cave NP,13,"1,735,610",2.66%
Haleakala NP,14,"1,314,683",2.02%
Mount Rainier NP,15,"1,255,618",1.93%
Grand Teton NP,16,"1,232,691",1.89%
Cuyahoga Valley NP,17,"1,229,717",1.89%
Hot Springs NP,18,"1,185,772",1.82%
Badlands NP,19,"1,110,040",1.70%
Sequoia NP,20,"1,031,129",1.58%
Everglades NP,21,"1,026,188",1.58%
Kings Canyon NP,22,"1,007,695",1.55%
Hawaii Volcanoes NP,23,"983,007",1.51%
Joshua Tree NP,24,"955,246",1.47%
Petrified Forest NP,25,"857,031",1.32%
Virgin Islands NP,26,"838,684",1.29%
Bryce Canyon NP,27,"791,348",1.21%
Carlsbad Caverns NP,28,"786,135",1.21%
Mesa Verde NP,29,"772,183",1.19%
Death Valley NP,30,"692,267",1.06%
Redwood NP,31,"677,135",1.04%
Saguaro NP,32,"675,397",1.04%
North Cascades NP,33,"605,967",0.93%
Denali NP & PRES,34,"592,431",0.91%
Wind Cave NP,35,"578,016",0.89%
Biscayne NP,36,"531,036",0.82%
Arches NP,37,"520,455",0.80%
Lassen Volcanic NP,38,"495,628",0.76%
Capitol Reef NP,39,"469,556",0.72%
Crater Lake NP,40,"443,430",0.68%
Theodore Roosevelt NP,41,"413,527",0.63%
Great Sand Dunes NP & PRES,42,"274,286",0.42%
Black Canyon of the Gunnison NP,43,"269,073",0.41%
Big Bend NP,44,"239,595",0.37%
Voyageurs NP,45,"223,735",0.34%
Canyonlands NP,46,"212,100",0.33%
Pinnacles NP,47,"212,094",0.33%
Guadalupe Mountains NP,48,"178,910",0.27%
Channel Islands NP,49,"168,592",0.26%
Glacier Bay NP & PRES,50,"148,756",0.23%
Great Basin NP,51,"73,559",0.11%
Kenai Fjords NP,52,"59,017",0.09%
Katmai NP & PRES,53,"45,710",0.07%
Wrangell-St. Elias NP & PRES,54,"31,046",0.05%
Isle Royale NP,55,"26,593",0.04%
Congaree NP,56,"26,257",0.04%
Lake Clark NP & PRES,57,"18,863",0.03%
Dry Tortugas NP,58,"16,937",0.03%
Kobuk Valley NP,59,"2,275",0.00%
Gates of the Arctic NP & PRES,60,"1,258",0.00%
