ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"8,931,690",13.07%
Grand Canyon NP,2,"4,203,545",6.15%
Yosemite NP,3,"3,819,518",5.59%
Yellowstone NP,4,"3,144,405",4.60%
Olympic NP,5,"3,030,195",4.43%
Rocky Mountain NP,6,"2,788,868",4.08%
Gateway Arch NP,7,"2,415,514",3.54%
Mammoth Cave NP,8,"2,392,858",3.50%
Zion NP,9,"2,390,626",3.50%
Acadia NP,10,"2,382,113",3.49%
Glacier NP,11,"2,199,767",3.22%
Indiana Dunes NP,12,"1,973,098",2.89%
Shenandoah NP,13,"1,822,193",2.67%
Grand Teton NP,14,"1,744,636",2.55%
Mount Rainier NP,15,"1,522,057",2.23%
Hot Springs NP,16,"1,504,013",2.20%
Cuyahoga Valley NP,17,"1,430,382",2.09%
Joshua Tree NP,18,"1,220,539",1.79%
Badlands NP,19,"1,205,297",1.76%
Haleakala NP,20,"1,183,124",1.73%
Hawaii Volcanoes NP,21,"1,151,661",1.69%
Everglades NP,22,"1,025,686",1.50%
Bryce Canyon NP,23,"1,018,174",1.49%
Sequoia NP,24,"961,095",1.41%
Petrified Forest NP,25,"930,031",1.36%
Death Valley NP,26,"869,183",1.27%
Saguaro NP,27,"810,059",1.19%
Arches NP,28,"799,831",1.17%
Virgin Islands NP,29,"772,470",1.13%
Mesa Verde NP,30,"742,080",1.09%
Carlsbad Caverns NP,31,"688,742",1.01%
Capitol Reef NP,32,"675,837",0.99%
Wind Cave NP,33,"660,296",0.97%
Kings Canyon NP,34,"637,446",0.93%
Denali NP & PRES,35,"503,674",0.74%
Theodore Roosevelt NP,36,"475,937",0.70%
Lassen Volcanic NP,37,"468,011",0.68%
Crater Lake NP,38,"461,668",0.68%
Canyonlands NP,39,"395,698",0.58%
Redwood NP,40,"387,781",0.57%
Black Canyon of the Gunnison NP,41,"337,209",0.49%
Biscayne NP,42,"307,512",0.45%
Big Bend NP,43,"294,535",0.43%
Great Sand Dunes NP & PRES,44,"290,654",0.43%
Voyageurs NP,45,"227,498",0.33%
Glacier Bay NP & PRES,46,"211,424",0.31%
Pinnacles NP,47,"191,683",0.28%
Guadalupe Mountains NP,48,"175,120",0.26%
Channel Islands NP,49,"169,181",0.25%
Kenai Fjords NP,50,"108,130",0.16%
Great Basin NP,51,"69,144",0.10%
Katmai NP & PRES,52,"46,196",0.07%
Wrangell-St. Elias NP & PRES,53,"42,229",0.06%
Congaree NP,54,"40,018",0.06%
Isle Royale NP,55,"22,728",0.03%
Dry Tortugas NP,56,"21,581",0.03%
North Cascades NP,57,"20,295",0.03%
Lake Clark NP & PRES,58,"9,233",0.01%
Kobuk Valley NP,59,"2,829",0.00%
Gates of the Arctic NP & PRES,60,"2,116",0.00%
