ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,265,667",12.79%
Grand Canyon NP,2,"4,537,703",6.26%
Yosemite NP,3,"4,046,207",5.59%
Gateway Arch NP,4,"3,649,308",5.04%
Cuyahoga Valley NP,5,"3,455,878",4.77%
Olympic NP,6,"3,348,723",4.62%
Yellowstone NP,7,"3,012,171",4.16%
Rocky Mountain NP,8,"2,923,755",4.04%
Grand Teton NP,9,"2,733,439",3.77%
Acadia NP,10,"2,704,831",3.73%
Zion NP,11,"2,498,001",3.45%
Mammoth Cave NP,12,"1,896,829",2.62%
Glacier NP,13,"1,720,805",2.38%
Shenandoah NP,14,"1,571,019",2.17%
Haleakala NP,15,"1,553,344",2.14%
Hot Springs NP,16,"1,538,105",2.12%
Indiana Dunes NP,17,"1,526,166",2.11%
Mount Rainier NP,18,"1,338,961",1.85%
Bryce Canyon NP,19,"1,269,600",1.75%
Hawaii Volcanoes NP,20,"1,231,557",1.70%
Death Valley NP,21,"1,189,215",1.64%
Joshua Tree NP,22,"1,095,046",1.51%
Badlands NP,23,"1,024,705",1.41%
Everglades NP,24,"890,167",1.23%
Arches NP,25,"856,016",1.18%
Sequoia NP,26,"838,060",1.16%
Petrified Forest NP,27,"829,495",1.15%
Wind Cave NP,28,"781,171",1.08%
Capitol Reef NP,29,"678,012",0.94%
Saguaro NP,30,"671,643",0.93%
Mesa Verde NP,31,"617,360",0.85%
Carlsbad Caverns NP,32,"557,217",0.77%
Kings Canyon NP,33,"502,749",0.69%
Channel Islands NP,34,"490,715",0.68%
Crater Lake NP,35,"476,957",0.66%
Virgin Islands NP,36,"475,942",0.66%
Canyonlands NP,37,"447,527",0.62%
Theodore Roosevelt NP,38,"436,081",0.60%
Redwood NP,39,"426,938",0.59%
Lassen Volcanic NP,40,"351,632",0.49%
Denali NP & PRES,41,"341,385",0.47%
Biscayne NP,42,"338,603",0.47%
Great Sand Dunes NP & PRES,43,"309,283",0.43%
Glacier Bay NP & PRES,44,"304,374",0.42%
Big Bend NP,45,"279,454",0.39%
Kenai Fjords NP,46,"274,034",0.38%
Voyageurs NP,47,"246,588",0.34%
Guadalupe Mountains NP,48,"223,485",0.31%
Black Canyon of the Gunnison NP,49,"200,125",0.28%
Pinnacles NP,50,"164,465",0.23%
Great Basin NP,51,"86,635",0.12%
Congaree NP,52,"62,614",0.09%
Dry Tortugas NP,53,"35,127",0.05%
Wrangell-St. Elias NP & PRES,54,"31,467",0.04%
North Cascades NP,55,"27,910",0.04%
Isle Royale NP,56,"23,445",0.03%
Lake Clark NP & PRES,57,"12,727",0.02%
Gates of the Arctic NP & PRES,58,"6,448",0.01%
Kobuk Valley NP,59,"2,781",0.00%
