ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,491,437",14.08%
Grand Canyon NP,2,"4,348,068",6.45%
Yosemite NP,3,"3,737,472",5.54%
Yellowstone NP,4,"3,295,187",4.89%
Olympic NP,5,"3,276,459",4.86%
Rocky Mountain NP,6,"2,822,325",4.19%
Zion NP,7,"2,735,402",4.06%
Cuyahoga Valley NP,8,"2,589,288",3.84%
Grand Teton NP,9,"2,580,081",3.83%
Gateway Arch NP,10,"2,360,109",3.50%
Acadia NP,11,"2,227,698",3.30%
Glacier NP,12,"2,031,348",3.01%
Indiana Dunes NP,13,"1,944,568",2.88%
Joshua Tree NP,14,"1,304,471",1.93%
Hot Springs NP,15,"1,284,707",1.91%
Hawaii Volcanoes NP,16,"1,233,105",1.83%
Bryce Canyon NP,17,"1,216,377",1.80%
Mount Rainier NP,18,"1,151,654",1.71%
Shenandoah NP,19,"1,120,981",1.66%
Haleakala NP,20,"1,109,104",1.64%
Arches NP,21,"996,312",1.48%
Sequoia NP,22,"965,170",1.43%
Badlands NP,23,"933,918",1.39%
Everglades NP,24,"900,882",1.34%
Death Valley NP,25,"828,574",1.23%
Saguaro NP,26,"665,234",0.99%
Petrified Forest NP,27,"631,613",0.94%
Capitol Reef NP,28,"617,208",0.92%
Kings Canyon NP,29,"609,296",0.90%
Wind Cave NP,30,"587,868",0.87%
Theodore Roosevelt NP,31,"586,928",0.87%
Mesa Verde NP,32,"550,377",0.82%
Mammoth Cave NP,33,"503,856",0.75%
Crater Lake NP,34,"446,516",0.66%
Redwood NP,35,"444,426",0.66%
Glacier Bay NP & PRES,36,"438,361",0.65%
Biscayne NP,37,"437,745",0.65%
Canyonlands NP,38,"436,241",0.65%
Carlsbad Caverns NP,39,"432,639",0.64%
Virgin Islands NP,40,"415,847",0.62%
Lassen Volcanic NP,41,"365,639",0.54%
Big Bend NP,42,"363,905",0.54%
Denali NP & PRES,43,"358,041",0.53%
Channel Islands NP,44,"348,745",0.52%
Great Sand Dunes NP & PRES,45,"289,955",0.43%
Voyageurs NP,46,"222,429",0.33%
Kenai Fjords NP,47,"218,358",0.32%
Guadalupe Mountains NP,48,"198,882",0.29%
Black Canyon of the Gunnison NP,49,"171,451",0.25%
Pinnacles NP,50,"171,112",0.25%
Congaree NP,51,"122,970",0.18%
Great Basin NP,52,"84,974",0.13%
Wrangell-St. Elias NP & PRES,53,"59,966",0.09%
Dry Tortugas NP,54,"52,011",0.08%
Katmai NP & PRES,55,"43,035",0.06%
North Cascades NP,56,"26,972",0.04%
Isle Royale NP,57,"14,653",0.02%
Gates of the Arctic NP & PRES,58,"9,975",0.01%
Lake Clark NP & PRES,59,"9,711",0.01%
National Park of American Samoa,60,"3,242",0.00%
Kobuk Valley NP,61,"1,879",0.00%
