ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,044,010",13.89%
Grand Canyon NP,2,"4,425,314",6.80%
Yosemite NP,3,"3,431,514",5.27%
Olympic NP,4,"3,081,451",4.73%
Yellowstone NP,5,"3,066,580",4.71%
Cuyahoga Valley NP,6,"2,828,233",4.34%
Rocky Mountain NP,7,"2,757,390",4.23%
Zion NP,8,"2,690,154",4.13%
Grand Teton NP,9,"2,485,987",3.82%
Acadia NP,10,"2,075,857",3.19%
Gateway Arch NP,11,"1,954,810",3.00%
Indiana Dunes NP,12,"1,833,596",2.82%
Glacier NP,13,"1,808,027",2.78%
Joshua Tree NP,14,"1,392,446",2.14%
Hawaii Volcanoes NP,15,"1,270,538",1.95%
Hot Springs NP,16,"1,238,147",1.90%
Haleakala NP,17,"1,185,068",1.82%
Mount Rainier NP,18,"1,163,227",1.79%
Shenandoah NP,19,"1,075,878",1.65%
Bryce Canyon NP,20,"1,043,321",1.60%
Sequoia NP,21,"930,011",1.43%
Arches NP,22,"928,795",1.43%
Death Valley NP,23,"871,938",1.34%
Badlands NP,24,"845,734",1.30%
Everglades NP,25,"822,118",1.26%
Saguaro NP,26,"699,137",1.07%
Biscayne NP,27,"686,062",1.05%
Capitol Reef NP,28,"604,811",0.93%
Kings Canyon NP,29,"574,870",0.88%
Wind Cave NP,30,"573,433",0.88%
Mesa Verde NP,31,"551,446",0.85%
Petrified Forest NP,32,"543,714",0.84%
Theodore Roosevelt NP,33,"516,804",0.79%
Virgin Islands NP,34,"469,034",0.72%
Mammoth Cave NP,35,"446,174",0.69%
Canyonlands NP,36,"436,715",0.67%
Denali NP & PRES,37,"432,309",0.66%
Glacier Bay NP & PRES,38,"418,911",0.64%
Crater Lake NP,39,"415,686",0.64%
Carlsbad Caverns NP,40,"400,381",0.61%
Redwood NP,41,"396,899",0.61%
Lassen Volcanic NP,42,"377,361",0.58%
Big Bend NP,43,"362,512",0.56%
Channel Islands NP,44,"332,177",0.51%
Great Sand Dunes NP & PRES,45,"273,903",0.42%
Kenai Fjords NP,46,"272,190",0.42%
Voyageurs NP,47,"221,585",0.34%
Pinnacles NP,48,"166,988",0.26%
Guadalupe Mountains NP,49,"163,709",0.25%
Black Canyon of the Gunnison NP,50,"160,185",0.25%
Congaree NP,51,"104,913",0.16%
Great Basin NP,52,"69,235",0.11%
Wrangell-St. Elias NP & PRES,53,"65,693",0.10%
Dry Tortugas NP,54,"63,947",0.10%
North Cascades NP,55,"18,725",0.03%
Isle Royale NP,56,"14,038",0.02%
Gates of the Arctic NP & PRES,57,"11,397",0.02%
Katmai NP & PRES,58,"7,970",0.01%
Lake Clark NP & PRES,59,"6,802",0.01%
National Park of American Samoa,60,"3,683",0.01%
Kobuk Valley NP,61,"1,565",0.00%
