ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"10,283,598",13.97%
Grand Canyon NP,2,"4,575,124",6.22%
Yosemite NP,3,"3,493,607",4.75%
Gateway Arch NP,4,"3,481,042",4.73%
Olympic NP,5,"3,364,266",4.57%
Cuyahoga Valley NP,6,"3,324,284",4.52%
Rocky Mountain NP,7,"3,186,323",4.33%
Yellowstone NP,8,"3,131,381",4.26%
Grand Teton NP,9,"2,680,025",3.64%
Acadia NP,10,"2,602,227",3.54%
Zion NP,11,"2,449,664",3.33%
Haleakala NP,12,"1,963,187",2.67%
Indiana Dunes NP,13,"1,748,047",2.38%
Mammoth Cave NP,14,"1,710,983",2.32%
Glacier NP,15,"1,684,604",2.29%
Hawaii Volcanoes NP,16,"1,502,855",2.04%
Hot Springs NP,17,"1,384,469",1.88%
Shenandoah NP,18,"1,339,286",1.82%
Joshua Tree NP,19,"1,316,340",1.79%
Mount Rainier NP,20,"1,291,397",1.75%
Death Valley NP,21,"1,227,583",1.67%
Bryce Canyon NP,22,"1,081,521",1.47%
Everglades NP,23,"1,073,982",1.46%
Badlands NP,24,"950,453",1.29%
Sequoia NP,25,"873,229",1.19%
Arches NP,26,"869,980",1.18%
Wind Cave NP,27,"761,717",1.04%
Saguaro NP,28,"749,014",1.02%
Capitol Reef NP,29,"680,153",0.92%
Petrified Forest NP,30,"666,978",0.91%
Mesa Verde NP,31,"635,736",0.86%
Channel Islands NP,32,"607,057",0.82%
Kings Canyon NP,33,"559,534",0.76%
Carlsbad Caverns NP,34,"514,418",0.70%
Canyonlands NP,35,"446,160",0.61%
Glacier Bay NP & PRES,36,"442,607",0.60%
Biscayne NP,37,"442,585",0.60%
Theodore Roosevelt NP,38,"431,311",0.59%
Virgin Islands NP,39,"425,345",0.58%
Crater Lake NP,40,"417,992",0.57%
Denali NP & PRES,41,"386,867",0.53%
Redwood NP,42,"369,726",0.50%
Lassen Volcanic NP,43,"353,756",0.48%
Big Bend NP,44,"327,649",0.45%
Kenai Fjords NP,45,"290,673",0.39%
Great Sand Dunes NP & PRES,46,"286,745",0.39%
Voyageurs NP,47,"228,898",0.31%
Guadalupe Mountains NP,48,"219,591",0.30%
Black Canyon of the Gunnison NP,49,"200,142",0.27%
Pinnacles NP,50,"164,854",0.22%
Great Basin NP,51,"90,119",0.12%
Congaree NP,52,"82,223",0.11%
Dry Tortugas NP,53,"74,186",0.10%
Katmai NP & PRES,54,"51,399",0.07%
Wrangell-St. Elias NP & PRES,55,"29,252",0.04%
Isle Royale NP,56,"23,493",0.03%
North Cascades NP,57,"21,488",0.03%
Gates of the Arctic NP & PRES,58,"8,166",0.01%
Kobuk Valley NP,59,"6,309",0.01%
Lake Clark NP & PRES,60,"6,190",0.01%
